Structure_ID,Structure_Type,Location,Age (years),Last_Cleaning,Image_Path,Detected_Algae (%),Detected_Barnacles (%),Detected_Mussels (%),Total_Coverage (%),Recommended_Cleaning_Method
277,G17-AP,North Sea,16,2018-12-29,/path/img277,21,4,9,34,Method B
212,G16-A,North Sea,15,2015-04-24,/path/img212,19,26,21,66,Method C
745,K12-K,North Sea,15,2019-06-09,/path/img745,1,5,1,7,Method B
096,K9-A,North Sea,9,2015-04-06,/path/img096,39,15,9,63,Method C
765,Q13-A,North Sea,9,2019-02-23,/path/img765,46,7,30,83,Method C
105,L10-EE,North Sea,20,2015-07-21,/path/img105,32,35,10,77,Method B
856,K12-C,North Sea,6,2017-11-29,/path/img856,28,21,19,68,Method B
838,K12-G,North Sea,3,2017-11-22,/path/img838,49,0,24,73,Method B
205,G17-A,North Sea,18,2017-03-23,/path/img205,45,36,14,95,Method A
194,G14-A,North Sea,10,2016-04-18,/path/img194,6,30,30,66,Method B
057,L10-AP,North Sea,9,2016-02-01,/path/img057,0,16,14,30,Method B
314,L10-M,North Sea,15,2015-07-06,/path/img314,39,4,28,71,Method A
857,K9-C,North Sea,2,2016-05-15,/path/img857,30,11,7,48,Method B
562,D15-A,North Sea,8,2017-09-23,/path/img562,57,22,6,85,Method C
643,G14-B,North Sea,5,2017-01-23,/path/img643,34,19,19,72,Method B
489,L10-C,North Sea,11,2016-09-07,/path/img489,18,12,12,42,Method A
420,K2-A,North Sea,20,2015-11-07,/path/img420,33,15,6,54,Method C
396,L10-L,North Sea,7,2017-02-09,/path/img396,57,24,30,100,Method B
266,K12-G,North Sea,20,2016-02-19,/path/img266,0,35,15,50,Method A
666,L10-F,North Sea,10,2015-05-30,/path/img666,16,29,10,55,Method C
807,E17-A,North Sea,3,2015-06-27,/path/img807,6,20,15,41,Method B
640,K12-CC,North Sea,8,2019-12-07,/path/img640,35,34,15,84,Method C
423,K9-C,North Sea,8,2015-03-26,/path/img423,13,22,16,51,Method B
314,D18-A,North Sea,15,2016-04-13,/path/img314,39,31,7,77,Method A
567,L10-BB,North Sea,18,2020-05-10,/path/img567,10,5,30,45,Method A
032,L5-D,North Sea,17,2016-03-21,/path/img032,51,13,23,87,Method B
593,L10-G,North Sea,12,2018-09-10,/path/img593,59,10,28,97,Method A
236,K12-G,North Sea,15,2017-05-30,/path/img236,35,32,19,86,Method B
778,K12-BP,North Sea,11,2019-03-03,/path/img778,7,26,23,56,Method B
055,F3-1A,North Sea,17,2018-05-07,/path/img055,60,7,0,67,Method A
377,L10-F,North Sea,18,2019-02-20,/path/img377,52,36,8,96,Method C
724,K12-BP,North Sea,6,2016-06-15,/path/img724,60,17,8,85,Method C
243,L10-AD,North Sea,11,2017-02-06,/path/img243,10,5,8,23,Method B
490,L10-AC,North Sea,16,2020-06-12,/path/img490,7,5,8,20,Method A
791,L10-C,North Sea,18,2017-08-18,/path/img791,54,2,24,80,Method B
937,K12-C,North Sea,11,2017-10-09,/path/img937,30,27,26,83,Method C
871,D18-A,North Sea,1,2019-01-26,/path/img871,31,10,26,67,Method B
791,K12-G,North Sea,10,2015-10-17,/path/img791,20,5,2,27,Method C
734,K12-D,North Sea,13,2018-10-25,/path/img734,23,32,25,80,Method A
502,K12-C,North Sea,10,2016-07-02,/path/img502,8,26,27,61,Method C
823,L10-G,North Sea,15,2015-09-16,/path/img823,5,26,18,49,Method C
032,L10-BB,North Sea,16,2015-06-30,/path/img032,36,1,13,50,Method B
896,L5-A,North Sea,7,2020-05-20,/path/img896,20,8,20,48,Method B
672,K12-D,North Sea,7,2019-10-01,/path/img672,52,12,26,90,Method B
575,L10-AD,North Sea,8,2016-01-21,/path/img575,24,39,24,87,Method B
673,L10-AP,North Sea,16,2017-03-16,/path/img673,7,14,5,26,Method B
084,L10-AC,North Sea,9,2017-01-27,/path/img084,33,26,7,66,Method C
882,K12-CC,North Sea,2,2016-12-27,/path/img882,40,3,16,59,Method C
616,G17-A,North Sea,20,2015-02-07,/path/img616,0,15,7,22,Method C
011,L10-EE,North Sea,10,2016-12-15,/path/img011,4,29,13,46,Method A
839,G16-A,North Sea,15,2016-10-06,/path/img839,6,2,4,12,Method A
454,K9-B,North Sea,14,2019-10-19,/path/img454,29,9,0,38,Method B
539,K9-A,North Sea,14,2017-06-16,/path/img539,1,19,5,25,Method C
822,K12-G,North Sea,10,2017-01-27,/path/img822,0,12,29,41,Method A
968,L10-EE,North Sea,15,2016-08-30,/path/img968,40,16,14,70,Method A
116,K12-D,North Sea,13,2017-08-23,/path/img116,2,22,1,25,Method C
777,L10-AD,North Sea,20,2018-05-22,/path/img777,9,31,24,64,Method B
728,L10-E,North Sea,9,2019-08-12,/path/img728,10,10,17,37,Method C
519,L10-G,North Sea,20,2015-10-30,/path/img519,48,31,9,88,Method A
409,G17-A,North Sea,17,2017-04-28,/path/img409,39,5,4,48,Method C
108,G14-B,North Sea,16,2020-09-29,/path/img108,57,15,13,85,Method A
726,G16-B,North Sea,12,2017-03-07,/path/img726,47,18,7,72,Method B
881,G14-A,North Sea,9,2018-07-11,/path/img881,41,20,28,89,Method B
576,G16-B,North Sea,11,2017-03-07,/path/img576,36,14,26,76,Method A
346,G17-A,North Sea,9,2020-11-18,/path/img346,1,38,2,41,Method B
534,L5-D,North Sea,12,2017-12-01,/path/img534,24,11,21,56,Method C
826,G14-B,North Sea,10,2020-11-08,/path/img826,55,14,22,91,Method B
549,G16-A,North Sea,5,2017-10-08,/path/img549,59,8,26,93,Method C
564,K9-A,North Sea,3,2019-03-24,/path/img564,33,24,25,82,Method B
035,K12-CC,North Sea,13,2020-02-28,/path/img035,2,31,15,48,Method C
165,K12-BP,North Sea,15,2015-12-20,/path/img165,57,3,15,75,Method C
751,L5-D,North Sea,4,2019-04-01,/path/img751,42,38,21,100,Method C
218,L5-D,North Sea,18,2018-03-10,/path/img218,44,23,17,84,Method C
230,L10-AD,North Sea,19,2020-05-07,/path/img230,41,36,19,96,Method A
074,L10-EE,North Sea,2,2018-02-16,/path/img074,26,23,3,52,Method A
563,L10-F,North Sea,10,2020-10-26,/path/img563,16,19,8,43,Method A
393,K12-G,North Sea,2,2019-12-17,/path/img393,19,4,7,30,Method C
842,K12-K,North Sea,15,2017-04-02,/path/img842,24,39,5,68,Method B
250,K12-A,North Sea,9,2017-02-03,/path/img250,0,14,26,40,Method C
588,L10-EE,North Sea,11,2017-05-21,/path/img588,45,9,12,66,Method B
499,L10-B,North Sea,5,2020-06-29,/path/img499,27,17,28,72,Method B
754,G16-B,North Sea,19,2017-11-02,/path/img754,20,36,12,68,Method A
136,L10-F,North Sea,9,2019-12-12,/path/img136,32,16,28,76,Method C
180,K12-A,North Sea,13,2015-02-09,/path/img180,46,35,6,87,Method C
621,G14-B,North Sea,15,2015-10-23,/path/img621,44,9,22,75,Method C
568,G16-A,North Sea,3,2015-05-17,/path/img568,60,10,16,86,Method B
788,L10-E,North Sea,10,2016-06-14,/path/img788,4,21,2,27,Method B
212,L5-D,North Sea,4,2016-09-12,/path/img212,15,31,9,55,Method A
069,L10-L,North Sea,16,2018-03-27,/path/img069,8,3,14,25,Method C
884,L10-C,North Sea,17,2017-06-16,/path/img884,51,10,6,67,Method A
613,D18-A,North Sea,16,2019-03-01,/path/img613,25,33,21,79,Method A
359,L10-C,North Sea,20,2016-01-23,/path/img359,60,31,20,100,Method C
545,G16-B,North Sea,3,2019-12-30,/path/img545,35,21,6,62,Method A
656,L10-C,North Sea,11,2018-01-08,/path/img656,28,39,19,86,Method C
176,L10-B,North Sea,10,2020-04-28,/path/img176,57,26,11,94,Method C
340,L10-C,North Sea,15,2017-01-30,/path/img340,47,17,15,79,Method B
828,G16-A,North Sea,19,2020-02-18,/path/img828,14,32,2,48,Method B
847,K2-A,North Sea,16,2015-08-18,/path/img847,49,28,14,91,Method B
857,L10-AP,North Sea,4,2017-04-14,/path/img857,26,2,15,43,Method B
558,G17-AP,North Sea,19,2017-01-11,/path/img558,58,6,10,74,Method B
211,G14-A,North Sea,1,2015-08-20,/path/img211,31,33,24,88,Method A
777,G16-B,North Sea,2,2020-03-26,/path/img777,21,31,10,62,Method A
560,L10-G,North Sea,6,2019-10-07,/path/img560,30,4,13,47,Method A
023,K12-BP,North Sea,13,2019-08-05,/path/img023,4,20,13,37,Method C
665,L10-BB,North Sea,17,2015-05-08,/path/img665,47,13,1,61,Method B
311,K12-C,North Sea,14,2015-04-18,/path/img311,42,9,18,69,Method C
998,G16-A,North Sea,3,2015-11-08,/path/img998,46,30,25,100,Method C
101,L10-M,North Sea,6,2015-12-19,/path/img101,6,18,25,49,Method C
391,L10-BB,North Sea,13,2017-11-12,/path/img391,46,18,29,93,Method C
567,L10-G,North Sea,17,2018-11-09,/path/img567,57,24,21,100,Method B
175,L10-C,North Sea,7,2019-06-01,/path/img175,28,37,8,73,Method A
870,Q13-A,North Sea,8,2020-11-15,/path/img870,57,28,13,98,Method A
262,K12-K,North Sea,9,2019-07-10,/path/img262,38,20,30,88,Method A
053,L10-EE,North Sea,16,2016-01-31,/path/img053,14,39,26,79,Method C
597,G14-B,North Sea,20,2016-09-04,/path/img597,3,14,11,28,Method C
324,K12-CC,North Sea,3,2020-12-20,/path/img324,14,17,23,54,Method B
563,K12-CC,North Sea,11,2017-02-02,/path/img563,44,16,25,85,Method A
539,K9-C,North Sea,15,2018-02-23,/path/img539,4,27,1,32,Method A
269,L10-D,North Sea,1,2017-04-07,/path/img269,5,0,24,29,Method B
621,L10-B,North Sea,8,2019-04-30,/path/img621,52,19,29,100,Method C
955,L10-AR,North Sea,19,2018-01-04,/path/img955,32,6,22,60,Method B
567,L10-AR,North Sea,4,2020-08-02,/path/img567,10,11,30,51,Method A
010,K9-A,North Sea,14,2015-05-02,/path/img010,8,31,5,44,Method A
413,D15-A,North Sea,6,2019-09-20,/path/img413,13,18,21,52,Method C
930,F3-1A,North Sea,18,2018-10-28,/path/img930,31,13,19,63,Method B
487,G17-AP,North Sea,14,2020-02-14,/path/img487,21,31,10,62,Method C
336,K12-G,North Sea,6,2020-10-17,/path/img336,5,3,30,38,Method A
230,L5-D,North Sea,14,2015-10-19,/path/img230,5,20,25,50,Method C
823,L10-M,North Sea,15,2019-08-01,/path/img823,56,28,12,96,Method C
521,L10-M,North Sea,1,2017-01-05,/path/img521,34,34,30,98,Method C
376,E17-A,North Sea,11,2015-03-27,/path/img376,16,34,15,65,Method B
116,L10-F,North Sea,10,2018-12-03,/path/img116,3,0,29,32,Method C
629,Q13-A,North Sea,10,2017-03-09,/path/img629,13,39,1,53,Method A
796,L10-AC,North Sea,6,2015-07-31,/path/img796,29,15,22,66,Method B
600,L10-C,North Sea,9,2017-11-20,/path/img600,3,40,26,69,Method A
229,G17-AP,North Sea,3,2015-06-12,/path/img229,5,0,2,7,Method B
072,L10-EE,North Sea,16,2020-08-12,/path/img072,4,40,7,51,Method C
156,K12-K,North Sea,18,2020-12-27,/path/img156,28,7,28,63,Method C
194,L10-E,North Sea,16,2019-05-09,/path/img194,20,11,19,50,Method B
886,K12-BD,North Sea,1,2015-11-30,/path/img886,52,40,16,100,Method C
847,G14-B,North Sea,13,2016-10-12,/path/img847,55,6,16,77,Method B
629,K12-BD,North Sea,16,2016-02-09,/path/img629,38,7,9,54,Method C
928,L10-L,North Sea,5,2019-02-19,/path/img928,20,40,23,83,Method A
115,G14-A,North Sea,4,2015-08-03,/path/img115,11,32,2,45,Method C
293,L5-D,North Sea,17,2015-07-03,/path/img293,45,37,28,100,Method A
164,L10-B,North Sea,5,2018-10-04,/path/img164,22,17,25,64,Method B
813,K12-BP,North Sea,5,2019-08-13,/path/img813,37,32,20,89,Method C
396,K9-A,North Sea,19,2020-10-23,/path/img396,39,12,22,73,Method C
886,K12-D,North Sea,6,2020-07-21,/path/img886,19,27,4,50,Method B
273,Q13-A,North Sea,20,2018-08-16,/path/img273,42,30,15,87,Method B
709,G16-B,North Sea,11,2018-06-17,/path/img709,43,32,18,93,Method B
425,L10-F,North Sea,17,2018-09-03,/path/img425,59,23,21,100,Method B
992,K12-D,North Sea,10,2016-08-27,/path/img992,42,40,24,100,Method A
175,K12-BP,North Sea,13,2015-10-29,/path/img175,29,35,12,76,Method B
874,L10-M,North Sea,10,2020-08-02,/path/img874,10,19,20,49,Method C
746,L10-C,North Sea,8,2015-10-21,/path/img746,51,4,4,59,Method C
101,K12-G,North Sea,17,2020-08-06,/path/img101,20,34,8,62,Method B
841,L10-B,North Sea,9,2019-11-22,/path/img841,33,6,25,64,Method A
916,L10-BB,North Sea,10,2020-07-16,/path/img916,41,4,2,47,Method C
358,K12-G,North Sea,10,2016-10-10,/path/img358,39,26,17,82,Method B
648,L10-D,North Sea,16,2018-04-15,/path/img648,50,2,24,76,Method A
047,K12-G,North Sea,10,2018-07-31,/path/img047,39,40,14,93,Method A
535,L10-AC,North Sea,11,2018-10-08,/path/img535,47,29,4,80,Method B
803,L10-B,North Sea,6,2015-08-07,/path/img803,23,30,28,81,Method C
763,G14-B,North Sea,3,2019-02-03,/path/img763,2,12,30,44,Method C
005,G14-B,North Sea,6,2019-11-20,/path/img005,50,2,23,75,Method C
216,L10-F,North Sea,14,2015-10-03,/path/img216,11,38,1,50,Method B
885,K12-CC,North Sea,20,2016-05-05,/path/img885,2,4,15,21,Method B
425,L5-D,North Sea,6,2015-08-20,/path/img425,12,8,13,33,Method B
181,D15-A,North Sea,11,2015-07-26,/path/img181,28,5,21,54,Method A
415,K12-A,North Sea,4,2015-01-04,/path/img415,59,8,27,94,Method A
310,L10-C,North Sea,11,2016-12-04,/path/img310,28,37,13,78,Method B
253,L10-D,North Sea,14,2018-09-30,/path/img253,52,1,28,81,Method C
846,K2-A,North Sea,9,2018-08-16,/path/img846,1,16,3,20,Method B
029,K9-B,North Sea,14,2015-05-24,/path/img029,1,21,13,35,Method A
990,L10-M,North Sea,20,2016-03-26,/path/img990,41,24,11,76,Method A
564,L5-A,North Sea,13,2016-03-22,/path/img564,19,27,16,62,Method A
828,L10-E,North Sea,6,2015-07-23,/path/img828,46,28,0,74,Method B
319,L10-F,North Sea,2,2015-11-19,/path/img319,55,33,11,99,Method A
072,G17-AP,North Sea,18,2017-03-17,/path/img072,33,19,12,64,Method A
406,L10-L,North Sea,18,2015-07-10,/path/img406,11,34,12,57,Method A
513,L10-M,North Sea,14,2016-07-07,/path/img513,45,0,5,50,Method A
192,K12-CC,North Sea,3,2016-05-22,/path/img192,11,19,29,59,Method C
165,L10-AC,North Sea,5,2016-05-02,/path/img165,12,9,22,43,Method B
711,G16-A,North Sea,12,2019-03-20,/path/img711,25,34,11,70,Method A
006,K12-G,North Sea,4,2017-08-21,/path/img006,45,0,2,47,Method C
666,F3-1A,North Sea,16,2018-04-26,/path/img666,37,22,20,79,Method B
265,K12-C,North Sea,18,2015-08-07,/path/img265,31,13,30,74,Method B
448,G16-B,North Sea,3,2016-02-07,/path/img448,55,34,9,98,Method C
031,L5-D,North Sea,8,2019-07-24,/path/img031,21,25,20,66,Method A
703,D18-A,North Sea,5,2017-07-20,/path/img703,29,35,3,67,Method C
996,K12-CC,North Sea,18,2020-07-01,/path/img996,23,17,24,64,Method C
114,L5-D,North Sea,6,2019-12-07,/path/img114,8,25,30,63,Method B
738,K12-BD,North Sea,17,2018-09-03,/path/img738,1,33,5,39,Method C
198,K12-BD,North Sea,12,2020-10-12,/path/img198,34,35,23,92,Method B
445,K12-K,North Sea,13,2015-07-28,/path/img445,37,37,4,78,Method A
724,G17-A,North Sea,17,2018-12-04,/path/img724,34,11,26,71,Method B
220,L10-BB,North Sea,2,2019-11-03,/path/img220,2,19,28,49,Method C
363,K12-D,North Sea,6,2015-05-25,/path/img363,17,22,19,58,Method C
516,L5-D,North Sea,10,2015-06-05,/path/img516,59,15,18,92,Method C
308,L10-F,North Sea,12,2018-04-28,/path/img308,51,38,19,100,Method A
896,L5-A,North Sea,12,2020-12-09,/path/img896,5,0,20,25,Method B
011,G16-A,North Sea,5,2015-09-30,/path/img011,7,23,12,42,Method B
113,K9-A,North Sea,17,2015-07-08,/path/img113,41,0,14,55,Method B
432,G17-AP,North Sea,16,2019-10-23,/path/img432,23,12,12,47,Method B
230,L10-F,North Sea,11,2018-05-11,/path/img230,46,4,2,52,Method C
873,K12-BD,North Sea,4,2019-04-05,/path/img873,54,29,7,90,Method C
013,K12-CC,North Sea,20,2017-03-12,/path/img013,34,12,3,49,Method B
811,L5-A,North Sea,11,2020-06-14,/path/img811,1,37,21,59,Method C
253,L10-AR,North Sea,6,2018-06-18,/path/img253,19,5,5,29,Method C
390,K12-A,North Sea,8,2018-09-13,/path/img390,59,0,16,75,Method C
919,K12-C,North Sea,13,2018-07-19,/path/img919,54,3,20,77,Method A
657,L10-AP,North Sea,7,2015-10-21,/path/img657,11,39,1,51,Method A
329,K12-K,North Sea,20,2015-08-01,/path/img329,4,21,21,46,Method B
883,K12-CC,North Sea,1,2018-01-18,/path/img883,14,16,21,51,Method A
453,K12-A,North Sea,6,2016-03-15,/path/img453,2,30,24,56,Method A
114,L10-G,North Sea,18,2018-05-30,/path/img114,35,30,5,70,Method B
647,K9-B,North Sea,9,2018-12-28,/path/img647,37,30,0,67,Method A
259,D15-A,North Sea,3,2017-11-01,/path/img259,33,9,16,58,Method C
654,L10-AC,North Sea,6,2016-02-07,/path/img654,39,30,18,87,Method C
172,L10-BB,North Sea,10,2020-02-19,/path/img172,4,15,12,31,Method B
068,L10-D,North Sea,17,2019-11-29,/path/img068,19,40,15,74,Method C
960,E17-A,North Sea,13,2016-09-03,/path/img960,47,15,1,63,Method C
885,L10-M,North Sea,17,2020-11-20,/path/img885,7,25,13,45,Method B
829,G17-A,North Sea,12,2017-05-14,/path/img829,15,7,12,34,Method C
434,L10-G,North Sea,10,2017-12-15,/path/img434,34,26,6,66,Method A
344,G14-A,North Sea,4,2018-10-09,/path/img344,0,38,9,47,Method A
730,G14-A,North Sea,4,2018-05-12,/path/img730,27,33,6,66,Method A
732,L10-AC,North Sea,13,2019-08-15,/path/img732,6,25,14,45,Method B
719,L10-F,North Sea,14,2015-09-07,/path/img719,1,9,13,23,Method C
085,G14-B,North Sea,20,2016-10-25,/path/img085,47,26,25,98,Method C
251,Q13-A,North Sea,11,2016-02-07,/path/img251,44,29,2,75,Method C
660,D15-A,North Sea,11,2020-04-22,/path/img660,36,31,10,77,Method B
166,K12-G,North Sea,19,2020-09-17,/path/img166,25,30,9,64,Method B
729,D18-A,North Sea,7,2016-01-20,/path/img729,7,25,25,57,Method A
085,G14-B,North Sea,3,2019-09-17,/path/img085,7,30,13,50,Method B
206,L10-D,North Sea,20,2017-05-30,/path/img206,11,16,5,32,Method B
754,E17-A,North Sea,8,2017-04-29,/path/img754,35,39,10,84,Method C
129,K12-K,North Sea,5,2017-12-17,/path/img129,49,40,29,100,Method C
184,D15-A,North Sea,19,2018-03-30,/path/img184,19,1,6,26,Method A
117,L10-B,North Sea,13,2019-10-08,/path/img117,31,10,14,55,Method C
842,L10-AP,North Sea,8,2018-05-08,/path/img842,36,7,1,44,Method A
929,G16-A,North Sea,6,2015-09-11,/path/img929,48,31,3,82,Method A
403,L10-B,North Sea,3,2019-09-25,/path/img403,10,4,5,19,Method A
707,K12-G,North Sea,5,2018-09-13,/path/img707,5,14,15,34,Method C
754,K9-C,North Sea,19,2020-03-24,/path/img754,24,21,16,61,Method C
421,K2-A,North Sea,12,2016-11-26,/path/img421,47,27,19,93,Method B
673,L10-BB,North Sea,20,2020-08-09,/path/img673,18,19,20,57,Method A
575,D15-A,North Sea,3,2020-03-02,/path/img575,32,21,27,80,Method B
243,K9-C,North Sea,10,2017-03-15,/path/img243,33,36,2,71,Method B
765,G14-B,North Sea,6,2016-09-11,/path/img765,12,29,10,51,Method B
737,F3-1A,North Sea,12,2020-04-02,/path/img737,17,38,21,76,Method A
507,L10-B,North Sea,9,2020-03-14,/path/img507,29,17,26,72,Method A
313,E17-A,North Sea,15,2018-08-01,/path/img313,34,3,26,63,Method C
569,L10-AR,North Sea,6,2020-01-19,/path/img569,22,36,8,66,Method B
749,E17-A,North Sea,8,2018-10-24,/path/img749,55,26,16,97,Method B
992,L10-AC,North Sea,10,2016-02-20,/path/img992,43,19,6,68,Method B
477,K12-C,North Sea,18,2017-03-02,/path/img477,22,39,9,70,Method B
930,L10-C,North Sea,1,2018-12-03,/path/img930,34,7,23,64,Method A
070,K12-K,North Sea,12,2016-07-27,/path/img070,14,29,14,57,Method A
751,K12-BD,North Sea,9,2017-06-03,/path/img751,16,2,13,31,Method B
135,G17-AP,North Sea,10,2016-04-26,/path/img135,7,22,9,38,Method B
828,K12-K,North Sea,3,2020-11-02,/path/img828,39,35,23,97,Method C
480,L10-EE,North Sea,17,2020-05-23,/path/img480,19,5,7,31,Method B
237,G14-B,North Sea,5,2019-07-15,/path/img237,47,15,22,84,Method A
072,K9-B,North Sea,5,2020-02-15,/path/img072,23,15,21,59,Method A
751,L10-AC,North Sea,12,2015-08-28,/path/img751,20,10,10,40,Method A
645,K12-BP,North Sea,10,2015-07-16,/path/img645,55,27,22,100,Method C
438,L10-BB,North Sea,4,2017-12-15,/path/img438,9,30,17,56,Method C
057,G16-B,North Sea,18,2019-05-17,/path/img057,50,11,2,63,Method A
596,E17-A,North Sea,16,2017-02-27,/path/img596,34,6,27,67,Method A
244,G16-B,North Sea,13,2016-02-25,/path/img244,31,16,28,75,Method A
766,L5-D,North Sea,14,2020-09-07,/path/img766,17,28,0,45,Method A
525,L10-F,North Sea,15,2017-05-25,/path/img525,7,22,7,36,Method B
308,L10-AP,North Sea,5,2015-09-23,/path/img308,26,7,15,48,Method B
171,K12-CC,North Sea,4,2016-02-06,/path/img171,50,7,17,74,Method C
059,D15-A,North Sea,7,2020-12-22,/path/img059,5,15,11,31,Method B
756,L10-F,North Sea,2,2019-08-01,/path/img756,32,16,5,53,Method C
494,D18-A,North Sea,17,2018-12-02,/path/img494,40,38,28,100,Method B
765,E17-A,North Sea,1,2016-07-16,/path/img765,2,38,21,61,Method C
875,L10-B,North Sea,6,2020-06-18,/path/img875,27,20,9,56,Method A
806,G14-A,North Sea,13,2017-11-19,/path/img806,33,0,17,50,Method B
017,L10-D,North Sea,12,2015-08-18,/path/img017,50,8,6,64,Method C
953,K12-CC,North Sea,18,2017-05-15,/path/img953,0,32,8,40,Method A
035,L5-A,North Sea,13,2017-12-11,/path/img035,36,39,7,82,Method B
753,D18-A,North Sea,1,2020-02-16,/path/img753,3,8,28,39,Method A
288,L10-AR,North Sea,16,2018-12-05,/path/img288,57,8,8,73,Method C
996,L10-EE,North Sea,11,2020-08-17,/path/img996,20,28,28,76,Method C
257,K12-D,North Sea,14,2019-06-18,/path/img257,12,33,6,51,Method B
944,G16-A,North Sea,4,2015-05-27,/path/img944,42,19,13,74,Method C
163,K9-A,North Sea,11,2020-06-10,/path/img163,56,6,29,91,Method A
809,L10-E,North Sea,15,2020-03-21,/path/img809,19,5,24,48,Method C
717,L10-AP,North Sea,5,2020-12-20,/path/img717,22,12,13,47,Method A
470,K12-BD,North Sea,2,2020-03-12,/path/img470,28,38,6,72,Method A
980,K12-C,North Sea,6,2015-08-03,/path/img980,5,38,6,49,Method C
511,K12-CC,North Sea,15,2019-05-25,/path/img511,6,18,9,33,Method B
780,K12-C,North Sea,7,2015-12-30,/path/img780,9,17,29,55,Method B
376,D15-A,North Sea,17,2018-06-14,/path/img376,25,5,25,55,Method B
249,L10-D,North Sea,3,2017-12-19,/path/img249,5,38,23,66,Method C
052,K12-BD,North Sea,1,2015-04-17,/path/img052,37,20,9,66,Method C
178,D18-A,North Sea,9,2015-12-23,/path/img178,50,25,25,100,Method C
142,L10-BB,North Sea,9,2020-07-24,/path/img142,13,25,5,43,Method A
835,G16-A,North Sea,2,2020-07-29,/path/img835,50,20,8,78,Method B
586,L10-L,North Sea,2,2020-07-09,/path/img586,37,1,8,46,Method A
047,L10-BB,North Sea,6,2020-05-08,/path/img047,35,37,1,73,Method A
645,D18-A,North Sea,13,2019-08-15,/path/img645,52,36,28,100,Method B
631,K12-CC,North Sea,20,2019-05-24,/path/img631,27,31,16,74,Method B
772,K12-BD,North Sea,8,2015-02-05,/path/img772,28,27,23,78,Method A
359,K12-CC,North Sea,20,2016-10-18,/path/img359,54,2,19,75,Method C
126,E17-A,North Sea,2,2016-08-04,/path/img126,39,35,2,76,Method A
414,D18-A,North Sea,12,2020-05-25,/path/img414,1,40,25,66,Method B
213,K2-A,North Sea,6,2020-04-23,/path/img213,9,39,27,75,Method C
362,L10-E,North Sea,2,2017-11-09,/path/img362,24,30,20,74,Method C
246,L10-BB,North Sea,7,2019-02-13,/path/img246,37,13,16,66,Method C
772,G16-B,North Sea,15,2020-07-01,/path/img772,44,21,26,91,Method B
336,L10-AP,North Sea,18,2015-03-22,/path/img336,21,8,23,52,Method B
910,G16-B,North Sea,16,2020-09-16,/path/img910,43,20,14,77,Method B
539,D18-A,North Sea,6,2017-08-02,/path/img539,24,15,29,68,Method A
779,L10-AP,North Sea,1,2017-02-18,/path/img779,1,17,20,38,Method C
174,L10-BB,North Sea,9,2015-03-03,/path/img174,15,11,12,38,Method C
434,L10-AR,North Sea,17,2016-10-11,/path/img434,37,35,24,96,Method B
906,L10-BB,North Sea,16,2017-10-11,/path/img906,52,12,13,77,Method C
590,L10-M,North Sea,14,2017-12-31,/path/img590,21,17,9,47,Method B
623,L5-A,North Sea,15,2017-09-28,/path/img623,16,14,5,35,Method B
006,K12-C,North Sea,1,2017-05-17,/path/img006,5,11,27,43,Method C
