platform,year,depthmin,depthmax,item,hardPerc,hardmm,softPerc,softmm,Total_Area_Coverage,Recommended_Cleaning_Method
G17-A,2002,-42,-14,Row 2-3,91,246,89,168,90,Mechanical cleaning methods
L10-M,2013,-40,-14,Caissons,68,98,87,133,87,Mechanical cleaning methods
G16-A,2007,-10,-26,Level 3,58,180,49,173,91,Mechanical cleaning methods
G17-A,2012,-19,-18,Row 4,92,123,77,3,89,Mechanical cleaning methods
L10-F,2010,-11,-29,Row 3,84,1,74,43,91,Cavitation water jetting
K12-A,2002,-18,-32,Level 3,71,195,33,197,71,Mechanical cleaning methods
E17-A,2008,-38,-30,Row 1-2,51,46,2,31,51,Laser cleaning
G14-A,2017,-6,-7,Row 2,22,13,42,154,9,High-pressure water jetting
K12-CC,2005,-29,-7,Row 3-1,14,45,90,108,89,High-pressure water jetting
L10-M,2016,-11,-30,Level 1,20,29,35,188,87,High-pressure water jetting
L10-AC,2010,-39,-16,Caissons,31,141,51,99,51,Mechanical cleaning methods
L10-AP,2011,-14,-29,Rows and Elevations,49,134,10,119,71,Mechanical cleaning methods
L10-F,2006,-7,-13,Level 1,19,181,93,152,5,Mechanical cleaning methods
K12-C,2010,-24,-32,Level 2 ,2,8,38,160,38,High-pressure water jetting
L10-B,2004,-32,-34,Level 3,45,156,81,92,81,Mechanical cleaning methods
G16-A,2010,-14,-38,Row 5,3,53,72,186,72,High-pressure water jetting
K12-G,1999,-33,-31,Row 5,38,16,12,80,38,High-pressure water jetting
L10-AD,2001,-4,-27,Level 1 ,49,144,27,166,79,Mechanical cleaning methods
K12-G,2006,-11,-31,Row 1-2,39,23,89,33,76,High-pressure water jetting
L10-F,2008,-29,-38,Row 2,42,155,89,194,89,Mechanical cleaning methods
K12-A,2017,-11,-13,Row 1-2,9,77,90,180,86,Mechanical cleaning methods
L10-B,2006,-34,-19,Rows and Elevations,12,231,3,127,12,Mechanical cleaning methods
K12-BP,2015,-34,-12,Level 1 ,0,66,66,144,89,Mechanical cleaning methods
K12-K,2002,-27,-31,Level 2 ,27,78,91,55,90,Mechanical cleaning methods
L10-AR,2000,-40,-37,Row 3-1,66,206,44,95,86,Mechanical cleaning methods
K12-BP,2000,-17,0,Risers,43,17,96,132,9,High-pressure water jetting
L5-A,2004,-9,-40,Row 4,32,4,87,172,87,High-pressure water jetting
L10-M,1999,-13,-27,Row 1,87,1,64,74,78,Mechanical cleaning methods
L10-AP,2014,-7,4,Level 2,43,25,11,153,9,High-pressure water jetting
L10-D,2016,-27,-27,Row E,13,164,21,49,21,Mechanical cleaning methods
G14-A,2015,-40,-14,Row E,14,147,51,19,51,Mechanical cleaning methods
L10-AP,2016,-8,-19,Level 1,56,40,17,164,80,High-pressure water jetting
D15-A,2000,-24,-40,Level 3,9,140,22,92,22,Mechanical cleaning methods
K9-B,2017,-26,-4,Level 3,35,116,83,192,71,Mechanical cleaning methods
K9-B,2016,-8,-32,Caissons,25,57,42,130,71,High-pressure water jetting
K12-A,2003,-4,-17,Conductors,65,13,19,155,88,High-pressure water jetting
K9-B,2012,-4,-9,Row C,35,29,7,131,7,High-pressure water jetting
L10-G,2016,-9,-11,Row 1-2,47,160,29,177,8,Mechanical cleaning methods
K9-C,2013,-32,-29,Conductors,1,19,50,94,50,High-pressure water jetting
K12-BD,2008,-12,-33,Risers,41,29,39,182,87,High-pressure water jetting
L10-F,2008,-6,-26,Level 3,83,57,2,108,70,High-pressure water jetting
K12-BD,1999,-29,-19,Row 3,2,26,14,94,81,High-pressure water jetting
L10-C,2002,-7,-7,Level 1,4,71,15,172,9,Mechanical cleaning methods
K9-A,2007,-19,-7,Level 2 ,22,151,35,149,77,Mechanical cleaning methods
G17-A,2003,-38,-8,Level 1 ,2,22,46,141,89,High-pressure water jetting
L10-B,1999,-30,-7,Row B,40,134,42,61,85,Mechanical cleaning methods
K12-BP,2008,-37,-13,Row 2,54,101,61,105,61,Mechanical cleaning methods
K2-A,1999,-33,-24,Row A,58,20,91,68,90,High-pressure water jetting
L10-EE,2015,-7,-31,Level 2,54,241,21,92,80,Mechanical cleaning methods
K12-K,2009,3,-6,Row 4,36,127,81,116,10,Mechanical cleaning methods
K12-G,2017,-9,-14,Row C,41,247,98,131,71,Mechanical cleaning methods
G14-A,1999,-39,-18,Level 1,48,219,51,98,51,Mechanical cleaning methods
K2-A,2005,-29,0,Caissons,34,20,96,93,72,High-pressure water jetting
L10-AR,2003,-14,-11,Row 2,87,201,57,103,82,Mechanical cleaning methods
K9-B,2002,-31,-4,Row 4,8,111,75,129,75,Mechanical cleaning methods
K9-C,2016,-17,-17,Level 2,14,20,91,9,79,High-pressure water jetting
L10-C,2000,-39,-29,Caissons,23,110,72,98,72,Mechanical cleaning methods
G16-A,1999,-30,4,Conductors,7,23,26,95,71,High-pressure water jetting
G14-A,2008,-40,-27,Level 2 ,70,49,32,48,70,Laser cleaning
E17-A,1999,-27,-31,Level 1 ,3,240,90,178,90,Mechanical cleaning methods
L10-L,2015,-16,-42,Level 2 ,93,32,6,135,90,Mechanical cleaning methods
K9-A,2000,-15,-39,Level 2,31,171,94,79,90,Mechanical cleaning methods
K12-K,2014,-4,-7,Row 2,66,36,94,141,10,High-pressure water jetting
K12-BD,2006,-4,-13,Row B,48,2,80,35,5,High-pressure water jetting
G16-A,2007,-42,-41,Conductors,94,25,10,149,20,Mechanical cleaning methods
G14-A,2007,-11,-7,Risers,28,80,84,94,5,Mechanical cleaning methods
L10-AC,2004,-7,-31,Row 2,35,118,56,159,90,Mechanical cleaning methods
L10-F,2006,-34,-13,Row 2,2,175,17,129,86,Mechanical cleaning methods
L10-C,2013,-42,-33,Level 3,34,214,11,155,91,Mechanical cleaning methods
L10-BB,2013,-33,-4,Row 2,20,63,74,65,88,Mechanical cleaning methods
K2-A,2013,-17,-38,Row 2,86,13,52,20,86,Mechanical cleaning methods
K12-BP,2012,-4,-40,Row 5,91,203,70,96,71,Mechanical cleaning methods
K12-BD,2006,-9,-11,Row E,56,5,72,182,6,High-pressure water jetting
K12-K,2001,-33,-11,Row 1-2,98,140,30,57,75,Mechanical cleaning methods
K12-BP,2014,-14,-33,Row 1-2,26,17,81,129,77,High-pressure water jetting
K12-D,2006,-16,-29,Row C,32,168,96,97,76,Mechanical cleaning methods
K12-G,2002,-8,-11,Row 1,78,48,23,162,7,High-pressure water jetting
L10-EE,2000,-24,-30,Row 3,44,12,96,76,90,High-pressure water jetting
G14-A,2009,-32,-39,Row D,86,5,71,127,87,Mechanical cleaning methods
L5-A,2009,-4,-19,Row B,31,221,82,182,85,Mechanical cleaning methods
L10-G,2010,-7,-37,Level 1 ,81,87,99,117,82,Mechanical cleaning methods
L10-C,2000,-18,-37,Level 2,26,115,79,55,79,Mechanical cleaning methods
L10-BB,2009,-29,-16,Row 4,46,75,51,99,87,Mechanical cleaning methods
L10-L,2015,-37,-4,Row 4,95,22,99,190,81,Mechanical cleaning methods
K2-A,2004,-32,-9,Row C,7,212,79,123,80,Mechanical cleaning methods
G14-A,2002,-39,-6,Row 1-2,78,244,28,75,83,Mechanical cleaning methods
L10-BB,1999,-32,0,Level 1 ,81,195,83,71,90,Mechanical cleaning methods
K12-A,2017,-18,-34,Row B,40,101,33,59,40,Mechanical cleaning methods
L10-E,1999,-19,-14,Row 2-3,33,182,70,127,77,Mechanical cleaning methods
D15-A,2008,-6,-29,Row E,100,15,53,68,88,Mechanical cleaning methods
K9-A,2008,-6,-31,Row 5,39,187,36,131,91,Mechanical cleaning methods
L10-EE,2007,-12,-31,Row 2,43,73,31,61,75,Mechanical cleaning methods
K12-G,2014,-24,-31,Row D,70,99,79,135,79,Mechanical cleaning methods
G14-B,2005,-31,-16,Row 1-2,39,14,6,93,78,High-pressure water jetting
K9-C,2016,-17,-39,Risers,31,90,77,35,77,Mechanical cleaning methods
D15-A,2006,-31,-37,Caissons,0,35,83,123,83,High-pressure water jetting
K9-A,1999,-4,-32,Level 1 ,27,147,46,170,89,Mechanical cleaning methods
L10-AD,2008,-32,-12,Level 1 ,73,249,95,37,72,Mechanical cleaning methods
G14-B,2012,-10,-7,Row D,99,27,69,157,6,Mechanical cleaning methods
K9-A,2017,-4,-26,Row A,32,187,79,93,85,Mechanical cleaning methods
K12-C,2009,-12,-33,Row 2,23,197,3,185,77,Mechanical cleaning methods
K12-BP,2003,-26,4,Risers,43,150,23,167,75,Mechanical cleaning methods
L10-AR,2006,-42,-27,Row D,59,186,59,114,59,Mechanical cleaning methods
L5-A,2003,-16,-24,Level 1,64,131,62,128,73,Mechanical cleaning methods
K12-A,2002,-31,-32,Row 2-3,44,13,2,58,44,High-pressure water jetting
G17-A,2012,-4,-27,Row 4,30,83,73,197,72,Mechanical cleaning methods
L10-BB,2006,-4,-42,Level 1,62,47,37,71,87,High-pressure water jetting
L10-D,2013,-15,-26,Row 1,73,169,95,59,78,Mechanical cleaning methods
K12-C,2003,-10,-16,Row B,8,119,66,42,77,Mechanical cleaning methods
K12-CC,2007,-24,-9,Row C,17,22,64,119,87,High-pressure water jetting
K12-BD,2015,-41,-39,Level 2 ,80,93,100,194,82,Mechanical cleaning methods
L5-A,2002,-14,-29,Row 5,90,87,84,47,91,Mechanical cleaning methods
K2-A,2014,-8,-42,Level 1 ,13,190,91,123,90,Mechanical cleaning methods
G16-A,2010,-8,-31,Row 2-3,24,52,92,129,89,High-pressure water jetting
K12-BD,1999,-8,-18,Row E,77,24,51,150,86,High-pressure water jetting
D15-A,2004,-24,-37,Row 3-1,42,13,61,107,61,High-pressure water jetting
G14-A,2011,-42,-18,Row 1-2,34,25,97,124,90,High-pressure water jetting
K12-G,2006,-27,-40,Row 1-2,93,26,75,142,90,Mechanical cleaning methods
G14-A,2015,-9,-13,Row B,80,9,57,11,78,Cavitation water jetting
L10-AC,2000,-33,-24,Row 3,43,141,42,39,43,Mechanical cleaning methods
K12-G,2013,-15,-39,Row 5,35,226,76,28,76,Mechanical cleaning methods
K12-BD,2013,-9,-12,Level 2 ,61,26,98,119,79,High-pressure water jetting
K12-BD,2003,-33,-33,Row 4,60,206,75,198,75,Mechanical cleaning methods
L10-AP,2015,-8,-30,Level 1,72,113,58,185,74,Mechanical cleaning methods
G17-A,2003,0,-30,Level 1,46,177,83,1,87,Mechanical cleaning methods
L10-F,2004,-27,-29,Row B,45,247,77,113,77,Mechanical cleaning methods
G17-AP,2013,-39,-8,Row A,8,126,93,179,91,Mechanical cleaning methods
L10-AR,2006,-27,-11,Level 1,67,208,76,100,73,Mechanical cleaning methods
E17-A,2015,-42,-33,Row 2,50,235,65,86,70,Mechanical cleaning methods
K12-BP,2005,-19,-7,Level 1 ,58,246,81,93,84,Mechanical cleaning methods
D15-A,2005,-18,4,Level 1 ,18,87,98,189,7,Mechanical cleaning methods
K12-C,2013,-15,-40,Row 3-1,31,2,5,121,31,High-pressure water jetting
K2-A,2007,-40,-14,Row B,77,198,14,88,77,Mechanical cleaning methods
D15-A,2008,-10,-6,Row 5,87,23,78,161,6,Mechanical cleaning methods
D15-A,2011,-18,-24,Row 3-1,17,72,58,168,80,Mechanical cleaning methods
L10-AR,1999,-34,-14,Row 5,44,203,49,90,80,Mechanical cleaning methods
L5-A,2008,-4,-15,Rows and Elevations,41,128,76,194,6,Mechanical cleaning methods
L10-AC,2012,-34,-9,Row C,10,32,86,158,78,High-pressure water jetting
G16-A,2009,-15,-38,Level 1 ,67,231,34,124,67,Mechanical cleaning methods
L10-M,2000,-15,-7,Level 2 ,85,172,13,125,72,Mechanical cleaning methods
L5-A,2016,-40,-18,Row 3,87,3,89,22,89,Mechanical cleaning methods
K9-A,2009,-42,-37,Caissons,68,26,49,52,72,High-pressure water jetting
K12-C,2016,-30,-27,Level 2 ,19,9,11,2,19,Ultrasonic cleaning
L10-B,2015,-29,-15,Row 1,20,199,28,0,79,Mechanical cleaning methods
L10-C,2017,-42,-40,Rows and Elevations,89,89,73,158,65,Mechanical cleaning methods
L10-EE,2017,-24,-40,Level 2 ,29,15,64,11,64,Ultrasonic cleaning
K12-BP,2015,-17,-26,Rows and Elevations,47,21,51,114,83,High-pressure water jetting
L10-M,2016,-17,-12,Level 1 ,38,34,22,109,82,High-pressure water jetting
L10-F,2011,-19,-10,Row 3,7,25,69,140,71,High-pressure water jetting
L10-BB,2002,-11,-16,Row C,32,192,54,133,81,Mechanical cleaning methods
G14-A,2012,-31,-8,Row 5,30,17,72,147,90,High-pressure water jetting
L10-D,2011,-41,-27,Level 3,76,141,83,81,83,Mechanical cleaning methods
K9-B,2013,-39,-4,Row 2-3,3,102,51,92,80,Mechanical cleaning methods
K9-A,2000,3,-39,Row 2-3,20,12,45,194,76,High-pressure water jetting
K12-A,2010,-31,-12,Row 2-3,44,1,79,90,70,High-pressure water jetting
L10-BB,2010,-7,-8,Conductors,20,248,68,191,8,Mechanical cleaning methods
L10-M,2009,-9,-30,Row E,6,179,83,138,81,Mechanical cleaning methods
L10-EE,2015,-34,-37,Row 4,51,183,14,155,73,Mechanical cleaning methods
K12-G,2008,3,-7,Row 2,0,84,73,51,7,Mechanical cleaning methods
G17-AP,2004,-14,-31,Risers,34,13,45,167,78,High-pressure water jetting
K12-A,2016,-26,-42,Risers,88,52,18,6,88,Mechanical cleaning methods
L10-L,2008,-6,-33,Level 2,72,12,61,78,70,High-pressure water jetting
G14-B,2012,-33,-34,Row 3,52,52,41,182,52,High-pressure water jetting
K12-K,1999,-31,-12,Row 1,6,123,91,156,86,Mechanical cleaning methods
K12-CC,2003,-19,0,Row 2,91,2,5,122,11,Mechanical cleaning methods
K12-G,2015,-41,-16,Row 3-1,15,24,36,9,36,Ultrasonic cleaning
K9-B,2012,-18,-16,Level 2,6,78,54,165,76,Mechanical cleaning methods
L10-BB,2002,-17,-26,Row A,9,151,82,137,76,Mechanical cleaning methods
L10-AC,2009,-18,-12,Level 1 ,16,17,77,67,80,High-pressure water jetting
K12-A,2017,-38,-4,Level 1,26,5,79,132,88,High-pressure water jetting
K12-BP,2002,0,-33,Caissons,7,70,96,137,73,Mechanical cleaning methods
D15-A,2007,-13,-32,Row 2-3,17,247,61,88,75,Mechanical cleaning methods
K9-A,2012,-10,-39,Row E,79,92,57,75,79,Mechanical cleaning methods
K12-BD,2001,-14,-30,Row 1-2,32,45,90,133,76,High-pressure water jetting
L10-L,2011,-4,-18,Row 2-3,81,191,12,122,70,Mechanical cleaning methods
L10-G,2007,-4,-12,Level 2 ,0,15,86,160,9,High-pressure water jetting
K12-D,2008,-18,-40,Level 2,83,143,86,93,86,Mechanical cleaning methods
L10-C,2007,-27,-41,Row 3,91,245,71,130,90,Mechanical cleaning methods
K12-BD,2012,-38,-12,Row 1-2,10,12,74,6,74,Ultrasonic cleaning
L5-A,2005,-27,-12,Conductors,5,16,89,65,83,High-pressure water jetting
K9-A,2013,-19,-8,Row 4,42,218,100,103,91,Mechanical cleaning methods
L5-A,2007,-16,-37,Row C,12,23,83,101,83,High-pressure water jetting
L10-G,2002,-38,0,Row 1,17,7,86,191,79,High-pressure water jetting
G16-A,1999,-33,4,Row 2,75,47,99,148,86,High-pressure water jetting
L10-EE,2001,-19,-14,Row 2-3,6,26,71,29,90,Ultrasonic cleaning
L10-AR,2010,0,-14,Caissons,42,175,84,85,6,Mechanical cleaning methods
L10-AC,2012,-12,-8,Caissons,8,1,58,42,8,Ultrasonic cleaning
L10-AR,2010,-19,-13,Conductors,60,106,9,91,86,Mechanical cleaning methods
L10-D,2001,-32,-9,Row 4,92,23,46,65,71,Mechanical cleaning methods
K9-C,2002,-26,-8,Row E,25,101,13,133,86,Mechanical cleaning methods
L10-G,2017,-13,-11,Conductors,19,130,34,175,89,Mechanical cleaning methods
L10-M,2005,-19,-13,Row D,42,144,99,179,88,Mechanical cleaning methods
K12-BP,2012,-16,-29,Level 1,92,11,70,100,83,Mechanical cleaning methods
K12-A,2005,-17,-34,Level 3,39,14,86,105,86,High-pressure water jetting
L10-M,2013,-9,-11,Row 1,41,107,52,75,11,Mechanical cleaning methods
G17-A,2003,-10,0,Row 1,76,1,87,72,6,High-pressure water jetting
L10-F,2015,-17,-8,Row 3,47,202,99,101,89,Mechanical cleaning methods
L10-B,2013,-42,-33,Row 5,7,177,12,33,80,Mechanical cleaning methods
L10-BB,2012,-4,-13,Row 1,86,61,75,111,6,Mechanical cleaning methods
K12-BP,2000,-31,-17,Row 5,39,20,50,4,72,Ultrasonic cleaning
K2-A,1999,-9,-30,Row A,2,10,95,75,83,High-pressure water jetting
L5-A,2006,-27,-27,Risers,55,35,22,126,55,High-pressure water jetting
L10-EE,2000,-8,-11,Risers,24,6,63,73,6,High-pressure water jetting
L10-AP,2000,-38,-10,Row B,44,211,53,137,70,Mechanical cleaning methods
L10-AD,2012,-16,-17,Level 2,20,3,1,10,80,Ultrasonic cleaning
L10-M,2006,-18,-40,Row 2,75,97,78,33,78,Mechanical cleaning methods
K12-G,2002,-31,-32,Row 3-1,40,141,34,110,40,Mechanical cleaning methods
K2-A,2012,-11,-11,Row E,20,20,85,38,82,High-pressure water jetting
K12-C,2003,-13,-6,Row 5,93,217,89,32,5,Mechanical cleaning methods
K9-A,2014,3,-24,Row A,83,33,95,69,77,High-pressure water jetting
E17-A,2016,-10,-42,Row 5,69,175,87,100,87,Mechanical cleaning methods
G16-A,2012,-26,-9,Row D,26,61,22,59,73,Mechanical cleaning methods
L10-F,2006,-9,-13,Level 3,95,7,35,200,76,Mechanical cleaning methods
L10-AR,2000,-31,-8,Level 1,55,200,27,159,77,Mechanical cleaning methods
L10-M,2010,-32,-29,Row 1,31,22,93,195,90,High-pressure water jetting
K2-A,1999,-11,-7,Row A,10,44,91,8,6,High-pressure water jetting
L10-BB,2003,-14,-7,Risers,5,13,18,176,91,High-pressure water jetting
G14-A,2015,-41,-6,Row 2,0,10,89,163,71,High-pressure water jetting
L10-EE,2017,-16,-10,Row 2,15,70,72,14,91,Mechanical cleaning methods
K2-A,2015,-7,-8,Row B,98,49,70,157,10,Mechanical cleaning methods
L10-AP,2011,-31,-38,Row 1,3,20,30,170,30,High-pressure water jetting
K12-C,2017,-31,4,Level 1 ,94,11,88,158,76,Mechanical cleaning methods
L10-M,2003,-6,-7,Row 2,83,58,27,98,9,High-pressure water jetting
L5-A,2009,-33,-4,Row C,49,81,2,5,79,Mechanical cleaning methods
L10-C,2009,-32,-11,Row C,34,72,94,37,76,Mechanical cleaning methods
K12-G,2014,-6,-33,Level 1 ,96,120,14,113,89,Mechanical cleaning methods
K12-C,2002,-17,-34,Row A,97,3,74,103,90,Mechanical cleaning methods
L10-AP,2004,-16,-29,Conductors,99,234,40,178,72,Mechanical cleaning methods
G16-A,2017,-19,-30,Row C,96,11,56,118,90,Mechanical cleaning methods
L10-AC,2012,-9,-41,Row 2,38,142,68,132,68,Mechanical cleaning methods
G17-A,2014,-13,-10,Row A,25,108,59,137,77,Mechanical cleaning methods
K12-CC,2004,-18,-8,Level 1 ,71,196,86,18,87,Mechanical cleaning methods
K2-A,2007,-19,-15,Row B,51,134,23,15,89,Mechanical cleaning methods
E17-A,2013,-13,-29,Row 1,49,200,80,21,70,Mechanical cleaning methods
L10-L,2001,-14,-18,Row 1-2,40,180,85,155,73,Mechanical cleaning methods
G17-A,2000,-14,-8,Level 2,14,23,84,168,71,High-pressure water jetting
D15-A,1999,-12,-17,Row 5,55,41,93,36,77,High-pressure water jetting
K12-D,2009,-37,-14,Row 5,43,93,68,11,68,Mechanical cleaning methods
L10-B,2011,-26,-4,Level 3,9,31,36,104,71,High-pressure water jetting
K12-BD,2017,-9,-31,Rows and Elevations,24,143,76,150,86,Mechanical cleaning methods
L10-BB,2017,-6,-8,Row C,49,80,8,123,7,Mechanical cleaning methods
K12-A,2016,-14,-17,Row C,20,98,14,36,78,Mechanical cleaning methods
K12-CC,2000,0,-8,Level 2 ,25,12,60,154,9,High-pressure water jetting
L10-B,2002,0,-41,Row 1-2,59,36,19,101,77,High-pressure water jetting
G14-B,2001,-40,-10,Level 1 ,2,210,10,132,10,Mechanical cleaning methods
L10-AP,2017,-27,-18,Row 2,57,228,95,175,80,Mechanical cleaning methods
K2-A,1999,-6,-26,Level 1 ,43,8,72,189,78,High-pressure water jetting
L10-AD,2016,-17,-9,Level 1,39,159,25,47,89,Mechanical cleaning methods
L5-A,2008,0,-16,Risers,18,145,91,70,11,Mechanical cleaning methods
L10-BB,2010,-4,-29,Risers,43,110,33,119,78,Mechanical cleaning methods
L10-AP,2007,-19,-24,Level 3,80,204,84,87,73,Mechanical cleaning methods
G14-A,2009,-15,-33,Row 1,15,20,28,95,70,High-pressure water jetting
E17-A,2015,-9,-13,Level 1,46,42,96,158,81,High-pressure water jetting
K12-BP,2012,-33,-42,Row 3,92,55,86,199,75,Mechanical cleaning methods
L10-F,2006,-11,-37,Row B,20,44,44,34,87,Laser cleaning
K12-C,2009,-32,-14,Level 1 ,68,84,71,173,70,Mechanical cleaning methods
L10-F,2011,-29,-6,Conductors,26,5,81,169,84,High-pressure water jetting
L10-AP,2012,-6,-33,Row 3,17,73,87,157,86,Mechanical cleaning methods
L10-B,2012,-38,-8,Level 1,11,174,19,34,89,Mechanical cleaning methods
L10-D,2011,-9,-17,Caissons,34,48,84,170,79,High-pressure water jetting
K12-C,2007,-16,-12,Row C,0,141,54,114,75,Mechanical cleaning methods
L10-C,2014,-11,-34,Row A,92,85,80,87,74,Mechanical cleaning methods
K2-A,2005,-24,-37,Rows and Elevations,16,31,95,148,90,High-pressure water jetting
K12-CC,1999,-14,-11,Conductors,61,127,79,40,87,Mechanical cleaning methods
K12-G,2010,-30,-15,Row 3-1,47,17,22,143,86,High-pressure water jetting
L10-G,2009,-11,-12,Level 1 ,50,86,97,90,75,Mechanical cleaning methods
L10-AP,1999,0,-17,Row 2,19,66,77,119,7,Mechanical cleaning methods
E17-A,2010,-34,-42,Level 2 ,98,60,69,96,73,Mechanical cleaning methods
L5-A,2000,-27,-17,Row 1,56,71,37,131,91,Mechanical cleaning methods
L10-M,2009,-30,-12,Row 1,44,107,65,118,73,Mechanical cleaning methods
K12-G,2005,-8,-15,Level 1,2,25,63,155,86,High-pressure water jetting
L10-C,2017,-32,-12,Level 1,25,48,85,125,76,High-pressure water jetting
L10-B,2016,-9,4,Caissons,44,201,84,91,8,Mechanical cleaning methods
L10-F,2010,-11,-18,Risers,39,75,6,64,82,Mechanical cleaning methods
K9-C,2008,-32,-41,Row 2,92,154,21,197,79,Mechanical cleaning methods
K12-G,2017,-10,-17,Row 3-1,92,100,100,80,77,Mechanical cleaning methods
L10-AD,2015,-41,-8,Row 3-1,3,36,68,166,68,High-pressure water jetting
K12-A,2001,3,-17,Row 1-2,40,200,100,187,9,Mechanical cleaning methods
K9-A,2003,-38,-4,Row E,85,20,41,182,74,Mechanical cleaning methods
K9-C,2010,-15,-9,Conductors,5,14,19,161,91,High-pressure water jetting
K2-A,2007,-6,-41,Risers,17,49,68,76,81,High-pressure water jetting
E17-A,2007,-31,-13,Row 3-1,48,135,16,103,81,Mechanical cleaning methods
K9-C,2001,-10,-15,Row B,94,187,57,191,82,Mechanical cleaning methods
L10-L,2002,-33,-27,Row 2-3,38,23,36,96,38,High-pressure water jetting
L10-B,2009,-19,-17,Caissons,100,40,9,88,89,Mechanical cleaning methods
K12-K,2003,-4,0,Row 1,13,21,40,196,9,High-pressure water jetting
K9-A,2008,-8,-17,Row 1,95,169,39,189,70,Mechanical cleaning methods
K9-A,2014,-18,-32,Row 3-1,65,74,99,180,90,Mechanical cleaning methods
G14-B,2011,-29,-11,Row 3-1,72,243,41,24,77,Mechanical cleaning methods
L10-G,2017,-8,-27,Caissons,27,50,85,177,72,High-pressure water jetting
E17-A,2015,-26,-31,Row 1,90,121,57,15,90,Mechanical cleaning methods
L10-F,2016,-9,-26,Conductors,60,27,95,91,90,High-pressure water jetting
G17-AP,2015,-16,-9,Level 3,91,9,42,146,91,Mechanical cleaning methods
K12-A,2009,-39,-4,Row 2,75,23,98,142,76,High-pressure water jetting
E17-A,2008,-39,-41,Row 3-1,83,161,31,65,70,Mechanical cleaning methods
G17-AP,2006,3,-38,Row D,25,115,49,124,90,Mechanical cleaning methods
L10-D,2006,-8,-27,Row 2-3,44,235,79,188,89,Mechanical cleaning methods
D15-A,2004,-7,-4,Row A,83,241,46,153,5,Mechanical cleaning methods
K9-C,2016,-16,-30,Row B,78,12,6,139,83,High-pressure water jetting
L10-G,2005,-8,-31,Conductors,35,7,6,36,72,Ultrasonic cleaning
