platform,year,depthmin,depthmax,item,hardPerc,hardmm,softPerc,softmm,Total_Area_Coverage,Recommended_Cleaning_Method
L10-C,2003,-7,-16,Row B,87,81,13,62,77,Mechanical cleaning methods
K12-C,2012,-24,-16,Row 3,79,172,9,114,87,Mechanical cleaning methods
K12-A,2006,-27,-26,Level 2 ,98,81,1,134,90,Mechanical cleaning methods
K9-A,2009,-30,0,Row D,51,84,31,86,88,Mechanical cleaning methods
E17-A,2012,-12,-27,Level 2,64,5,7,104,88,High-pressure water jetting
L10-D,2011,3,-29,Level 2 ,98,230,2,164,87,Mechanical cleaning methods
G14-A,2009,-29,-34,Row E,46,198,49,183,49,Mechanical cleaning methods
G17-A,2013,-38,-33,Caissons,100,100,0,182,89,Mechanical cleaning methods
L10-F,2008,-15,0,Level 1,1,87,31,84,11,Mechanical cleaning methods
K12-D,2008,-38,-31,Level 1,1,136,93,142,90,Mechanical cleaning methods
K9-C,2012,-9,-39,Row E,30,219,56,82,90,Mechanical cleaning methods
L10-B,2016,-40,-13,Row C,6,16,80,161,80,High-pressure water jetting
K9-C,2006,-4,-9,Row B,76,240,5,181,5,Mechanical cleaning methods
G16-A,2010,-24,-40,Level 1,44,82,48,159,48,Mechanical cleaning methods
K12-CC,2009,-27,-42,Row A,79,231,17,124,79,Mechanical cleaning methods
L10-EE,2010,-29,-26,Row 5,21,215,48,7,48,Mechanical cleaning methods
L10-AR,2006,-19,-24,Row 3-1,12,172,87,0,81,Mechanical cleaning methods
L10-D,2009,-41,-31,Row 1,0,81,95,148,81,Mechanical cleaning methods
E17-A,2017,-42,-18,Row D,58,2,16,62,58,High-pressure water jetting
L10-B,2008,-15,4,Row 1,86,110,7,33,5,Mechanical cleaning methods
K12-A,2004,-9,-31,Row 4,99,51,0,175,71,Mechanical cleaning methods
L10-AR,2001,-13,0,Row 2,24,58,5,191,5,Mechanical cleaning methods
K12-C,2002,-26,-8,Level 1 ,76,64,0,94,90,Mechanical cleaning methods
L10-BB,2000,-32,-18,Caissons,18,103,29,4,29,Mechanical cleaning methods
L10-EE,2010,-10,-33,Row D,72,168,22,158,89,Mechanical cleaning methods
G14-B,2005,-27,-31,Row 2,17,209,55,10,55,Mechanical cleaning methods
K9-C,2013,-16,-33,Row 2-3,54,233,37,170,54,Mechanical cleaning methods
L10-AD,2008,-30,0,Row 1-2,95,122,3,83,80,Mechanical cleaning methods
L10-F,2012,-26,-10,Row B,37,77,40,52,90,Mechanical cleaning methods
K12-A,2002,-37,-18,Caissons,72,198,7,37,72,Mechanical cleaning methods
K12-C,2014,-39,-12,Row A,98,174,1,146,90,Mechanical cleaning methods
K9-A,1999,-42,-13,Caissons,98,206,0,102,90,Mechanical cleaning methods
K12-G,2003,-9,-19,Conductors,52,76,45,165,78,Mechanical cleaning methods
L10-C,2010,-9,4,Row D,11,231,41,188,7,Mechanical cleaning methods
L10-M,2000,-29,-7,Row 5,3,199,41,142,83,Mechanical cleaning methods
K12-BP,2017,-17,-24,Row 2,82,15,18,146,77,Mechanical cleaning methods
K2-A,2007,-16,-39,Row 1,41,219,28,143,41,Mechanical cleaning methods
L5-A,2016,-7,4,Row 5,94,243,4,91,10,Mechanical cleaning methods
K12-D,2009,-30,-30,Row 1,50,157,2,68,50,Mechanical cleaning methods
K12-C,2016,-18,0,Row C,52,161,44,30,8,Mechanical cleaning methods
L10-EE,2004,-32,-12,Row 5,99,185,1,82,84,Mechanical cleaning methods
K12-G,2009,-4,-19,Level 2,1,47,49,181,83,High-pressure water jetting
K12-K,2004,-40,-41,Row D,43,34,4,193,17,High-pressure water jetting
L10-AR,2000,-11,-33,Risers,54,84,29,120,73,Mechanical cleaning methods
L10-AP,1999,-41,-30,Row 3,17,0,63,193,75,High-pressure water jetting
L10-G,2007,-37,-32,Level 2 ,54,201,15,34,54,Mechanical cleaning methods
L10-C,2011,-18,-29,Level 1 ,56,120,14,39,90,Mechanical cleaning methods
L10-B,2017,-18,-11,Row 2-3,96,68,4,27,72,Mechanical cleaning methods
L10-AP,2013,-27,0,Row 4,81,50,5,66,90,Mechanical cleaning methods
K12-CC,2010,-4,-17,Row 3,55,190,18,41,88,Mechanical cleaning methods
K9-A,1999,-9,-19,Rows and Elevations,43,52,33,146,74,Mechanical cleaning methods
L10-EE,2014,-8,-16,Level 3,24,53,10,41,70,Mechanical cleaning methods
K12-BD,2012,-37,-30,Conductors,13,81,18,143,18,Mechanical cleaning methods
K2-A,2002,-14,-7,Level 2 ,65,61,2,4,72,Mechanical cleaning methods
L10-E,2009,-15,-15,Rows and Elevations,40,83,60,5,70,Mechanical cleaning methods
L10-C,2014,-14,-40,Row 1-2,79,247,5,189,79,Mechanical cleaning methods
L10-M,2004,-18,-38,Row 3,61,94,34,108,61,Mechanical cleaning methods
L10-D,2008,-24,-38,Row B,18,49,78,74,78,High-pressure water jetting
L10-B,2002,-37,-7,Row D,94,54,0,135,70,Mechanical cleaning methods
G14-B,2003,-42,-13,Rows and Elevations,42,21,5,149,42,High-pressure water jetting
G16-A,2011,-10,-24,Row 1-2,3,249,85,39,79,Mechanical cleaning methods
L10-C,2014,-6,-13,Level 2,66,123,18,125,7,Mechanical cleaning methods
K9-B,2001,-37,-39,Conductors,68,94,29,17,79,Mechanical cleaning methods
K12-A,2015,-4,-40,Row 2,33,1,44,155,80,High-pressure water jetting
K2-A,2013,-30,-4,Row C,94,17,2,84,89,Mechanical cleaning methods
L10-AD,2012,-38,-39,Level 1,61,231,21,149,83,Mechanical cleaning methods
L10-L,2014,-19,-34,Row 4,21,91,46,127,46,Mechanical cleaning methods
K12-A,1999,-12,-12,Level 2,34,145,58,149,87,Mechanical cleaning methods
G17-A,2017,-13,-12,Row B,54,188,8,104,87,Mechanical cleaning methods
K9-A,2006,-26,-34,Caissons,83,13,11,135,83,Mechanical cleaning methods
G14-B,2005,-31,-24,Row B,86,86,5,42,86,Mechanical cleaning methods
K12-K,2008,3,-39,Row 1,20,67,66,49,74,Mechanical cleaning methods
E17-A,2005,-40,0,Row 2,46,12,24,43,85,Ultrasonic cleaning
L10-G,2013,-11,-37,Caissons,46,223,47,177,89,Mechanical cleaning methods
K2-A,2001,-32,-13,Row B,69,221,9,13,84,Mechanical cleaning methods
G14-A,2008,-16,-31,Row 5,72,246,12,186,85,Mechanical cleaning methods
L10-AD,2004,3,-14,Row 3-1,54,186,45,10,7,Mechanical cleaning methods
L10-B,1999,-31,-16,Row 3,3,230,90,180,84,Mechanical cleaning methods
L10-AR,2006,-6,-38,Row B,69,2,6,193,84,High-pressure water jetting
K12-D,2016,-12,-32,Conductors,88,205,6,107,75,Mechanical cleaning methods
L10-C,2013,-40,-30,Risers,10,209,11,141,11,Mechanical cleaning methods
K12-G,2011,-26,-7,Row B,2,118,96,26,82,Mechanical cleaning methods
K12-D,2004,0,-41,Caissons,1,165,47,58,88,Mechanical cleaning methods
K2-A,2001,-18,-26,Row 5,40,62,26,102,85,Mechanical cleaning methods
K12-CC,2005,-19,-8,Rows and Elevations,63,192,14,121,90,Mechanical cleaning methods
G14-A,2007,-33,4,Row E,61,16,23,119,75,High-pressure water jetting
L10-F,2014,-29,-6,Row 1-2,90,33,1,126,91,Mechanical cleaning methods
G17-A,2005,-40,-8,Risers,80,26,0,37,88,Mechanical cleaning methods
D15-A,2001,-42,-7,Row 4,22,98,1,151,22,Mechanical cleaning methods
G14-A,1999,-42,-11,Caissons,97,234,1,55,90,Mechanical cleaning methods
L10-AP,2016,-15,-39,Row 3-1,75,60,19,39,75,Mechanical cleaning methods
L10-AR,2002,-40,-29,Row 5,46,231,48,62,48,Mechanical cleaning methods
G14-A,2009,-15,4,Level 2 ,25,133,18,69,11,Mechanical cleaning methods
L10-L,2000,-18,-4,Row 1,63,41,30,176,85,High-pressure water jetting
L10-AR,2000,-38,-30,Level 3,88,117,1,74,88,Mechanical cleaning methods
L10-E,1999,-37,-6,Level 2,98,169,1,115,77,Mechanical cleaning methods
K12-G,2001,-41,-30,Row 4,20,158,59,126,84,Mechanical cleaning methods
L5-A,2007,-14,-16,Row B,19,67,39,0,71,Mechanical cleaning methods
E17-A,1999,-18,-29,Row C,7,11,42,2,86,Ultrasonic cleaning
E17-A,2013,-11,-33,Row D,57,88,29,49,77,Mechanical cleaning methods
K12-D,2006,-19,-19,Row 2-3,76,36,19,36,91,Mechanical cleaning methods
L10-M,2017,-6,-30,Row 1-2,79,14,0,167,90,Mechanical cleaning methods
E17-A,2000,-42,-6,Rows and Elevations,73,137,16,148,81,Mechanical cleaning methods
G14-B,2017,-13,-10,Row D,26,71,39,67,76,Mechanical cleaning methods
K12-BP,1999,-37,-16,Level 2,58,29,33,111,58,High-pressure water jetting
K12-BD,2001,-41,-18,Row 3-1,56,82,1,26,56,Mechanical cleaning methods
K12-G,2010,-11,-32,Row 1,44,39,21,142,89,High-pressure water jetting
L10-E,2004,-24,-26,Conductors,32,131,32,137,32,Mechanical cleaning methods
L5-A,2002,-15,-18,Row 5,86,107,8,132,89,Mechanical cleaning methods
K12-A,2004,-10,-30,Row 1,31,141,48,59,87,Mechanical cleaning methods
L10-M,2000,-37,-38,Row D,69,11,15,110,80,High-pressure water jetting
L10-L,2008,-29,-7,Row B,66,137,18,122,89,Mechanical cleaning methods
L10-L,2017,-4,4,Level 3,50,12,9,160,6,High-pressure water jetting
L10-B,2009,-42,-41,Rows and Elevations,77,178,2,80,17,Mechanical cleaning methods
K12-BP,2016,-13,-14,Row B,32,152,2,180,83,Mechanical cleaning methods
G14-B,2001,-14,-8,Level 1,100,69,0,121,79,Mechanical cleaning methods
K12-D,2014,-40,-24,Row C,81,107,8,13,81,Mechanical cleaning methods
G17-A,2011,-31,-42,Row B,65,81,29,144,79,Mechanical cleaning methods
K12-A,2015,-15,-38,Caissons,34,101,56,11,56,Mechanical cleaning methods
G16-A,2017,-17,-29,Conductors,19,61,21,26,71,Mechanical cleaning methods
L10-AD,2014,-7,-14,Row B,12,89,55,3,85,Mechanical cleaning methods
G17-A,2016,-30,0,Risers,96,39,1,187,83,Mechanical cleaning methods
K9-C,2010,-24,-38,Row 1-2,78,132,20,12,78,Mechanical cleaning methods
L10-F,2017,-34,-39,Level 1 ,24,214,19,82,73,Mechanical cleaning methods
L10-AC,2017,-29,-9,Row 3,3,165,52,124,85,Mechanical cleaning methods
L10-C,2004,-12,-33,Level 2 ,43,79,28,24,75,Mechanical cleaning methods
G17-AP,2015,-4,-12,Row 2,89,238,3,126,5,Mechanical cleaning methods
G16-A,2007,-4,-13,Row 2,14,131,75,33,11,Mechanical cleaning methods
L10-M,2013,-11,-9,Row E,100,227,0,126,7,Mechanical cleaning methods
L10-D,2016,-42,-34,Row B,38,49,30,8,82,Laser cleaning
L10-AD,2007,-40,-33,Row B,6,190,93,148,77,Mechanical cleaning methods
K12-A,2013,0,-29,Row 4,1,110,7,137,90,Mechanical cleaning methods
L10-AR,2003,-4,-39,Level 3,56,100,17,159,90,Mechanical cleaning methods
L10-BB,2001,-34,-18,Risers,0,250,100,70,90,Mechanical cleaning methods
G14-B,2004,-38,-4,Rows and Elevations,93,215,5,44,86,Mechanical cleaning methods
L10-BB,2005,-9,-31,Row 3-1,36,220,23,63,74,Mechanical cleaning methods
K12-G,2015,-18,-9,Caissons,73,20,16,176,82,High-pressure water jetting
D15-A,2011,-39,-24,Level 1 ,79,41,9,145,79,Mechanical cleaning methods
L10-D,2017,-4,-41,Level 2,53,166,5,40,82,Mechanical cleaning methods
G17-A,2013,-17,-33,Row 1,16,106,80,123,80,Mechanical cleaning methods
L10-AD,2008,-16,-34,Row 2,62,109,18,106,62,Mechanical cleaning methods
K12-BD,2011,3,-30,Row E,49,172,25,44,74,Mechanical cleaning methods
K12-G,2013,-29,-34,Row 2-3,100,128,0,81,90,Mechanical cleaning methods
L10-C,2011,-27,0,Row D,83,188,17,58,77,Mechanical cleaning methods
K12-A,2001,-15,-24,Row 4,95,166,1,185,72,Mechanical cleaning methods
L10-AC,2001,-11,4,Row 4,43,49,25,121,9,High-pressure water jetting
K12-D,2009,-33,-7,Caissons,33,161,12,112,90,Mechanical cleaning methods
K2-A,2003,-8,4,Row 1,87,170,6,93,11,Mechanical cleaning methods
K9-A,2004,-32,0,Row C,13,6,66,161,80,High-pressure water jetting
L10-AC,2005,-10,-6,Level 2 ,11,129,45,188,8,Mechanical cleaning methods
G14-A,2003,0,-16,Level 2 ,58,36,19,180,10,High-pressure water jetting
K9-B,2005,-8,-4,Level 2 ,77,166,22,82,7,Mechanical cleaning methods
L5-A,2017,-11,-42,Row B,34,191,34,59,34,Mechanical cleaning methods
K12-CC,2001,-15,-18,Level 2,22,31,65,3,76,Laser cleaning
L10-B,2015,-24,-15,Row D,100,38,0,30,71,Mechanical cleaning methods
K12-BD,1999,-26,-15,Caissons,44,246,11,47,78,Mechanical cleaning methods
L10-D,2012,-42,-14,Row 5,79,93,0,104,79,Mechanical cleaning methods
K12-CC,2007,-31,-7,Row 3-1,33,31,47,60,86,High-pressure water jetting
K2-A,2007,3,-15,Row 3,100,181,0,28,10,Mechanical cleaning methods
L10-D,2012,-19,-18,Row B,82,92,12,166,74,Mechanical cleaning methods
L10-AD,2011,-10,-7,Row 4,80,78,12,124,8,Mechanical cleaning methods
K12-G,2016,-37,-30,Row 2-3,56,163,35,57,56,Mechanical cleaning methods
L10-AR,2009,-10,-14,Row 5,49,113,23,200,88,Mechanical cleaning methods
E17-A,1999,-10,-8,Level 1 ,31,124,57,200,5,Mechanical cleaning methods
L10-B,2015,-16,-16,Row 2-3,53,190,33,64,81,Mechanical cleaning methods
K12-K,2010,-40,-4,Row 3-1,93,214,4,200,89,Mechanical cleaning methods
G14-A,2000,-13,-13,Level 1,66,103,14,157,89,Mechanical cleaning methods
K12-CC,2013,-41,-4,Row 2-3,65,146,6,6,81,Mechanical cleaning methods
L5-A,2014,-10,-7,Level 2,7,160,82,92,6,Mechanical cleaning methods
L10-C,2010,-12,-17,Conductors,0,152,28,16,75,Mechanical cleaning methods
K12-BP,2014,-15,-8,Row D,38,211,58,154,91,Mechanical cleaning methods
K12-C,2004,-15,-31,Row 2,38,148,7,85,85,Mechanical cleaning methods
D15-A,2006,-11,-8,Level 2 ,43,46,46,195,10,High-pressure water jetting
G16-A,2015,-14,-42,Level 2,52,66,39,80,52,Mechanical cleaning methods
L10-BB,2015,-16,-19,Rows and Elevations,57,89,3,48,81,Mechanical cleaning methods
G17-AP,1999,-33,-7,Level 3,79,161,15,23,72,Mechanical cleaning methods
K12-A,2016,-19,-32,Level 2 ,45,138,4,5,45,Mechanical cleaning methods
D15-A,2002,-29,-40,Row 2,37,232,3,140,37,Mechanical cleaning methods
L10-C,2012,-30,-38,Level 2,21,7,7,152,21,High-pressure water jetting
K9-B,2010,-42,-32,Row 5,14,128,72,96,82,Mechanical cleaning methods
K12-G,2015,-12,-12,Row 3-1,75,216,2,195,83,Mechanical cleaning methods
G17-A,2011,-30,-34,Row 1-2,55,54,26,51,55,Mechanical cleaning methods
K12-BP,2010,-4,-9,Row 3-1,66,184,1,179,5,Mechanical cleaning methods
E17-A,2013,-24,-29,Conductors,45,108,42,43,45,Mechanical cleaning methods
D15-A,2005,-42,-41,Row 5,28,70,59,30,31,Mechanical cleaning methods
L10-L,2010,-27,0,Row C,94,83,1,106,73,Mechanical cleaning methods
G17-A,2002,-9,-37,Rows and Elevations,27,37,8,81,82,High-pressure water jetting
G17-AP,2012,-32,-41,Row 3-1,32,154,56,90,91,Mechanical cleaning methods
L5-A,1999,-33,-41,Row 4,32,2,57,58,71,High-pressure water jetting
K12-K,2012,-41,-33,Level 1,66,126,2,199,81,Mechanical cleaning methods
