platform,year,depthmin,depthmax,item,hardPerc,hardmm,softPerc,softmm,Total_Area_Coverage,Recommended_Cleaning_Method
K12-CC,2006,-33,-12,Level 3,55,167,2,150,77,Mechanical cleaning methods
L10-AP,2011,-11,-10,Row 1,7,147,77,111,79,Mechanical cleaning methods
L10-AC,2005,-27,-39,Caissons,91,101,4,191,90,Mechanical cleaning methods
K12-A,2007,-17,-14,Row 3-1,49,164,33,100,89,Mechanical cleaning methods
K12-BD,2003,-31,-12,Caissons,91,140,3,14,81,Mechanical cleaning methods
L10-L,2001,-24,-27,Level 2 ,79,192,21,188,79,Mechanical cleaning methods
L10-AC,2012,-19,-33,Level 1 ,34,237,10,192,34,Mechanical cleaning methods
L10-AC,2017,-11,-27,Row B,31,121,54,98,77,Mechanical cleaning methods
K12-D,2001,-11,-9,Row C,61,102,9,6,8,Mechanical cleaning methods
E17-A,2004,-33,-31,Row B,6,160,61,22,61,Mechanical cleaning methods
L10-G,2017,-18,-12,Row 3,68,116,28,40,78,Mechanical cleaning methods
L10-AP,2005,-26,-32,Level 2 ,12,61,22,47,22,Mechanical cleaning methods
L10-E,2007,-15,-31,Row 1-2,58,198,41,128,78,Mechanical cleaning methods
K9-A,2006,-18,-19,Row 1,77,222,6,175,75,Mechanical cleaning methods
K12-C,2004,-16,-19,Row A,94,219,1,75,84,Mechanical cleaning methods
L10-M,2008,-11,-29,Row 4,76,58,1,74,80,Mechanical cleaning methods
K12-BP,2004,-31,-15,Row 1,37,218,47,36,83,Mechanical cleaning methods
L10-AP,2004,-17,-24,Level 1,73,229,23,119,77,Mechanical cleaning methods
K2-A,2007,-33,-24,Level 1,46,222,2,200,46,Mechanical cleaning methods
L10-D,2014,-8,-13,Row 3-1,59,182,5,143,88,Mechanical cleaning methods
L10-AD,2009,-34,-16,Level 2 ,18,171,45,97,45,Mechanical cleaning methods
K2-A,2002,-4,-33,Rows and Elevations,50,15,15,137,86,High-pressure water jetting
L10-L,2010,-9,-38,Level 1,7,26,70,118,72,High-pressure water jetting
L10-BB,1999,-40,-19,Caissons,96,133,0,115,90,Mechanical cleaning methods
G17-AP,2008,-10,-6,Row 5,37,21,43,187,11,High-pressure water jetting
L10-D,2011,-31,-31,Conductors,37,15,10,172,37,High-pressure water jetting
K12-K,2012,-14,-42,Level 1 ,95,146,5,15,90,Mechanical cleaning methods
K12-G,2015,-16,-7,Row B,58,12,37,48,87,Laser cleaning
K12-A,2012,-33,-29,Row 3,41,91,7,173,41,Mechanical cleaning methods
G17-A,2006,3,-17,Rows and Elevations,72,137,1,194,7,Mechanical cleaning methods
D15-A,2001,-18,-27,Row D,48,207,1,194,73,Mechanical cleaning methods
G17-AP,2001,-33,-15,Row 3-1,41,209,45,166,80,Mechanical cleaning methods
G14-B,2003,-19,-37,Row 5,67,36,19,42,67,Laser cleaning
L10-C,2013,-18,-31,Rows and Elevations,29,92,68,27,68,Mechanical cleaning methods
K12-G,2000,-42,-9,Row 1-2,57,12,38,25,57,Laser cleaning
K12-G,2009,-30,-12,Caissons,85,35,3,114,86,Mechanical cleaning methods
K9-A,2011,-4,-30,Row 1,85,207,11,180,80,Mechanical cleaning methods
L10-EE,2008,-24,-27,Conductors,20,180,64,22,64,Mechanical cleaning methods
G17-AP,1999,-8,-6,Rows and Elevations,67,132,7,133,8,Mechanical cleaning methods
L10-D,1999,-27,-40,Row 1-2,61,151,3,2,61,Mechanical cleaning methods
G17-AP,2013,-17,-34,Row D,33,125,12,91,33,Mechanical cleaning methods
L10-C,2012,-24,-30,Row 2,26,53,61,38,61,Mechanical cleaning methods
K9-B,2013,-10,4,Row A,93,126,3,156,8,Mechanical cleaning methods
G14-B,2013,-40,-26,Level 2 ,25,233,29,167,29,Mechanical cleaning methods
K12-D,2012,-12,-31,Row 3-1,75,185,10,88,75,Mechanical cleaning methods
K12-D,2015,-39,-24,Conductors,5,114,73,48,73,Mechanical cleaning methods
L10-F,2001,-31,-16,Row C,34,44,50,60,85,High-pressure water jetting
K12-D,2011,-4,-17,Level 3,77,173,10,191,78,Mechanical cleaning methods
L10-AR,2007,-6,-9,Row A,2,221,35,162,8,Mechanical cleaning methods
L10-BB,2016,-4,-11,Row 4,71,239,25,68,8,Mechanical cleaning methods
G16-A,2011,-42,-15,Row B,98,127,1,92,90,Mechanical cleaning methods
G17-A,2010,-17,-29,Row 3,28,136,21,130,88,Mechanical cleaning methods
G17-A,2011,-7,-41,Row A,14,249,82,6,80,Mechanical cleaning methods
L10-AR,2017,-7,-16,Row 2-3,3,243,57,195,86,Mechanical cleaning methods
L10-AR,2008,-17,-7,Row 1,20,28,11,196,79,High-pressure water jetting
L10-L,2014,-8,-4,Row 4,86,11,12,169,10,Mechanical cleaning methods
L10-D,2011,-7,-26,Row D,45,176,10,20,90,Mechanical cleaning methods
K12-BD,2007,-15,-8,Row 2-3,74,12,12,200,74,High-pressure water jetting
L10-AC,2014,-4,-11,Conductors,33,73,50,128,7,Mechanical cleaning methods
G17-AP,2000,-37,-4,Row 4,77,176,3,111,80,Mechanical cleaning methods
L10-F,2002,-9,-11,Row B,90,89,0,180,6,Mechanical cleaning methods
K9-A,2001,-31,-11,Level 1,95,151,4,73,87,Mechanical cleaning methods
K9-A,2008,-9,-14,Risers,22,29,7,42,87,Ultrasonic cleaning
K12-CC,2017,-9,-40,Row 1,52,60,12,110,52,Mechanical cleaning methods
G16-A,1999,-18,-27,Row 1-2,42,131,16,131,81,Mechanical cleaning methods
G14-B,1999,-33,-10,Row 2-3,45,115,47,186,82,Mechanical cleaning methods
K2-A,2014,0,-16,Caissons,70,41,18,15,5,Laser cleaning
K9-B,2015,-33,-27,Rows and Elevations,92,152,3,75,90,Mechanical cleaning methods
G14-B,2012,-4,-17,Row E,86,188,13,26,89,Mechanical cleaning methods
L10-E,2006,-18,-31,Row 5,17,89,50,174,50,Mechanical cleaning methods
L10-F,2007,-39,-17,Conductors,28,224,45,156,45,Mechanical cleaning methods
L10-M,2012,-26,-13,Row 4,87,76,9,56,72,Mechanical cleaning methods
L10-E,2011,-30,0,Row 4,57,171,25,188,82,Mechanical cleaning methods
L10-AC,2003,-13,-34,Row E,74,173,15,27,85,Mechanical cleaning methods
L10-M,2004,-39,-32,Row 2-3,89,219,8,127,77,Mechanical cleaning methods
L10-G,2015,-15,-17,Row E,70,244,0,107,86,Mechanical cleaning methods
L10-B,2016,-41,-11,Rows and Elevations,89,223,6,2,89,Mechanical cleaning methods
L10-F,2013,-6,-11,Level 1 ,25,128,6,54,8,Mechanical cleaning methods
K12-BD,1999,-15,-11,Risers,86,125,5,121,83,Mechanical cleaning methods
K12-BD,2013,-9,-9,Row 2-3,43,92,54,181,6,Mechanical cleaning methods
K12-BP,1999,-7,-31,Level 2,0,52,20,91,81,Mechanical cleaning methods
L10-L,2007,-6,0,Row 1,75,69,8,118,10,Mechanical cleaning methods
G14-A,2002,-8,-16,Row 1-2,29,126,40,178,79,Mechanical cleaning methods
K12-A,2003,-24,-33,Conductors,62,8,16,111,62,High-pressure water jetting
K12-D,1999,-14,-39,Level 3,39,199,6,130,39,Mechanical cleaning methods
D15-A,2017,3,-33,Row E,55,156,17,30,88,Mechanical cleaning methods
K9-B,2002,-15,-32,Row E,68,131,28,26,86,Mechanical cleaning methods
L10-F,2012,-37,-11,Row 5,82,203,10,194,79,Mechanical cleaning methods
L5-A,2011,3,-14,Row 2-3,16,88,73,153,8,Mechanical cleaning methods
L10-AC,2012,-34,-26,Row 1-2,60,146,36,128,60,Mechanical cleaning methods
L10-C,2008,-7,-41,Row D,42,56,42,135,84,Mechanical cleaning methods
L10-B,2009,-31,-16,Level 3,72,69,24,56,74,Mechanical cleaning methods
L10-AD,2010,-10,-11,Level 3,27,207,33,55,78,Mechanical cleaning methods
K2-A,2009,-30,-18,Row 1-2,6,150,10,20,83,Mechanical cleaning methods
K9-A,1999,-17,-40,Row 3-1,32,58,55,83,55,Mechanical cleaning methods
G14-A,2006,-8,-42,Row 5,95,10,4,189,90,Mechanical cleaning methods
L10-E,2012,-8,-4,Row 5,22,207,49,55,6,Mechanical cleaning methods
K12-BD,2005,-19,-8,Rows and Elevations,70,212,6,40,83,Mechanical cleaning methods
G17-A,2004,-37,-30,Level 2,38,204,51,112,51,Mechanical cleaning methods
L10-L,2017,-31,-31,Row 2-3,81,139,15,194,81,Mechanical cleaning methods
K9-A,2001,-38,-26,Row 4,53,109,44,49,53,Mechanical cleaning methods
K2-A,2003,-31,-27,Row 3-1,88,100,5,177,88,Mechanical cleaning methods
K2-A,2007,-4,-14,Row E,59,12,4,18,7,Laser cleaning
K12-CC,2009,-14,-9,Row B,40,199,54,105,81,Mechanical cleaning methods
K9-B,2005,3,-38,Row 2-3,12,216,87,162,88,Mechanical cleaning methods
G17-AP,2002,-19,4,Level 2,55,176,29,12,11,Mechanical cleaning methods
L10-EE,2002,-41,-17,Row D,93,36,0,28,90,Mechanical cleaning methods
D15-A,2013,-9,-31,Level 1,25,166,20,52,81,Mechanical cleaning methods
K9-A,2011,-17,-7,Caissons,53,115,5,195,91,Mechanical cleaning methods
K12-G,2016,-16,-9,Caissons,29,210,0,22,90,Mechanical cleaning methods
K12-CC,2005,-34,-39,Rows and Elevations,63,175,1,164,89,Mechanical cleaning methods
K2-A,2009,-31,-37,Row D,75,85,0,17,75,Mechanical cleaning methods
K12-BP,2002,-9,-42,Row 1-2,97,170,1,42,90,Mechanical cleaning methods
L10-AP,2000,-24,-6,Row E,67,163,24,109,89,Mechanical cleaning methods
L10-G,2012,3,-27,Row D,42,62,27,101,81,Mechanical cleaning methods
K12-G,2017,-12,-13,Row 3-1,53,128,1,83,82,Mechanical cleaning methods
L10-AD,2005,-26,-14,Risers,3,61,18,53,85,Mechanical cleaning methods
L10-E,2014,0,-30,Row 3,50,228,20,183,80,Mechanical cleaning methods
G17-A,2008,-31,4,Level 2 ,12,120,35,42,71,Mechanical cleaning methods
G17-AP,2004,-12,-39,Rows and Elevations,85,8,1,78,85,Mechanical cleaning methods
L10-F,2004,-12,-37,Row A,37,75,6,132,37,Mechanical cleaning methods
K12-G,2008,-29,-30,Row 1,25,85,19,170,25,Mechanical cleaning methods
G17-AP,2016,-38,-29,Row 3,50,162,33,152,50,Mechanical cleaning methods
K12-CC,2007,-41,-41,Row 1-2,68,162,29,15,67,Mechanical cleaning methods
L10-E,2007,-32,-13,Row 3-1,89,187,1,28,72,Mechanical cleaning methods
L10-AD,2012,-27,-6,Rows and Elevations,84,90,11,185,90,Mechanical cleaning methods
L10-B,2004,-12,-40,Risers,52,61,29,13,52,Mechanical cleaning methods
L10-D,2010,-24,-38,Risers,30,207,13,167,30,Mechanical cleaning methods
G17-A,2003,-42,-29,Conductors,99,73,0,71,78,Mechanical cleaning methods
L10-B,2007,-42,-11,Row C,84,186,16,82,84,Mechanical cleaning methods
L5-A,2005,-8,-11,Risers,26,11,47,51,5,High-pressure water jetting
L10-B,2015,-29,0,Level 2,16,229,14,141,80,Mechanical cleaning methods
G14-B,2002,-17,-27,Level 1 ,53,116,20,61,85,Mechanical cleaning methods
K12-CC,2011,-30,-42,Row 2,62,151,38,107,70,Mechanical cleaning methods
L10-AP,2015,-30,4,Row 1,53,85,0,35,91,Mechanical cleaning methods
K9-C,2002,-29,-4,Row C,45,44,19,13,91,Laser cleaning
K12-C,2014,-11,-37,Row 5,63,2,22,159,72,High-pressure water jetting
K2-A,2002,-24,-42,Row B,90,72,10,162,90,Mechanical cleaning methods
L10-F,2004,-6,-41,Row 1-2,3,232,1,49,84,Mechanical cleaning methods
L10-AP,2001,-10,-9,Caissons,57,146,8,101,8,Mechanical cleaning methods
K12-CC,2007,-16,-42,Row E,70,245,16,189,70,Mechanical cleaning methods
L10-EE,2009,-13,-8,Conductors,100,105,0,128,81,Mechanical cleaning methods
L10-C,2009,0,-30,Row C,25,120,5,173,80,Mechanical cleaning methods
K12-K,2007,-10,-17,Row 2,87,213,5,51,83,Mechanical cleaning methods
L10-G,2012,-19,-9,Row A,3,192,46,4,77,Mechanical cleaning methods
L10-F,2008,-11,-34,Conductors,32,140,35,106,89,Mechanical cleaning methods
K12-D,2007,-13,-18,Row 1-2,0,93,84,76,85,Mechanical cleaning methods
G16-A,2007,-27,-24,Caissons,95,171,0,109,90,Mechanical cleaning methods
L10-AR,2017,-31,-12,Level 3,83,225,7,173,70,Mechanical cleaning methods
L10-C,2009,-40,-40,Level 2 ,39,216,39,196,82,Mechanical cleaning methods
K12-BP,2004,-11,-13,Row 4,76,86,23,103,84,Mechanical cleaning methods
G17-AP,2016,-34,-6,Level 3,63,147,23,53,80,Mechanical cleaning methods
K12-D,2014,-29,-4,Level 2 ,76,186,16,64,79,Mechanical cleaning methods
L10-L,2012,-30,-9,Level 1 ,63,212,3,97,80,Mechanical cleaning methods
K12-K,2011,-18,-38,Row D,20,142,64,192,64,Mechanical cleaning methods
K9-C,2004,-11,-16,Row 1-2,33,184,20,62,74,Mechanical cleaning methods
D15-A,2009,-39,-32,Row 5,64,73,0,43,75,Mechanical cleaning methods
L10-L,2009,-38,-34,Row C,12,207,60,157,70,Mechanical cleaning methods
K12-K,2002,-9,-13,Row 5,49,160,51,17,90,Mechanical cleaning methods
G14-B,2016,-15,0,Row 2,96,15,0,120,11,Mechanical cleaning methods
K9-B,2014,-31,-41,Row C,79,161,10,137,86,Mechanical cleaning methods
L10-F,2009,-8,-7,Level 2 ,55,194,34,126,10,Mechanical cleaning methods
G14-B,2003,-18,-4,Row 3-1,74,196,12,145,71,Mechanical cleaning methods
L10-AC,2012,-40,-40,Level 1 ,20,164,65,171,80,Mechanical cleaning methods
G14-B,2004,-40,-12,Level 1 ,98,95,2,31,90,Mechanical cleaning methods
L10-B,2014,-34,-40,Row 2,36,3,46,195,86,High-pressure water jetting
L10-D,2015,-42,-27,Row 1-2,78,41,3,26,78,Mechanical cleaning methods
K12-G,2008,-40,-42,Row B,89,222,4,48,64,Mechanical cleaning methods
G16-A,2008,-33,-29,Row 2-3,75,105,21,145,75,Mechanical cleaning methods
L10-AC,2006,-30,0,Row 2-3,77,219,10,183,71,Mechanical cleaning methods
L10-D,2010,-18,-8,Caissons,10,213,42,123,86,Mechanical cleaning methods
K12-D,2006,-4,-17,Level 1,28,85,37,88,76,Mechanical cleaning methods
K9-B,2008,-17,-29,Rows and Elevations,81,135,4,14,82,Mechanical cleaning methods
L10-D,2000,-4,-42,Row 1,31,65,10,184,81,Mechanical cleaning methods
L10-AP,2003,-6,-32,Level 2,40,145,19,180,78,Mechanical cleaning methods
L10-B,2017,-41,-24,Row E,15,153,10,63,15,Mechanical cleaning methods
K12-BP,1999,-16,-6,Row 3-1,44,43,39,123,76,High-pressure water jetting
K2-A,2008,-15,-38,Risers,65,102,3,64,65,Mechanical cleaning methods
L10-AP,2003,-8,-34,Row 1-2,64,32,25,68,71,High-pressure water jetting
L10-F,2005,-19,-40,Conductors,96,178,1,89,90,Mechanical cleaning methods
K9-C,2001,-34,-34,Row 3-1,53,97,1,2,53,Mechanical cleaning methods
D15-A,2010,3,-38,Row E,6,64,70,46,91,Mechanical cleaning methods
L10-B,2013,-14,-14,Caissons,51,94,5,17,87,Mechanical cleaning methods
K12-C,2016,-38,-18,Row 3-1,46,196,27,188,46,Mechanical cleaning methods
L10-BB,2002,-40,-12,Row 1,67,146,17,9,67,Mechanical cleaning methods
K12-BP,2007,-41,-14,Row 4,86,45,3,163,86,Mechanical cleaning methods
K12-C,2002,-27,-30,Row D,9,131,42,162,42,Mechanical cleaning methods
K12-D,2002,-34,-4,Row 2-3,8,66,59,86,77,Mechanical cleaning methods
K9-A,2005,-29,-12,Conductors,26,162,7,79,86,Mechanical cleaning methods
L10-AD,2017,-34,-31,Conductors,30,170,15,175,30,Mechanical cleaning methods
G17-A,2000,-24,-9,Row 1,51,234,25,53,85,Mechanical cleaning methods
L10-AP,2005,-32,-11,Level 1 ,68,85,1,153,72,Mechanical cleaning methods
K9-A,2000,-17,-37,Row 2,41,71,29,141,41,Mechanical cleaning methods
K12-D,2000,-18,-7,Row 3-1,37,80,44,114,82,Mechanical cleaning methods
L10-EE,2008,-38,-27,Risers,61,18,10,67,61,High-pressure water jetting
G16-A,2001,-18,-38,Row 3-1,41,23,48,127,48,High-pressure water jetting
L10-F,2017,-34,-10,Level 1 ,37,111,22,42,77,Mechanical cleaning methods
K12-BD,2005,-24,-15,Row 3,85,219,0,177,77,Mechanical cleaning methods
L10-BB,2001,-19,-8,Row 2,44,120,28,190,78,Mechanical cleaning methods
K12-D,2000,-12,-7,Row E,33,25,0,196,11,High-pressure water jetting
K12-G,2016,-18,-33,Row 2,60,171,7,138,60,Mechanical cleaning methods
L10-M,2013,-14,-39,Row 2-3,28,246,42,152,42,Mechanical cleaning methods
E17-A,2011,3,-32,Rows and Elevations,27,7,54,85,89,High-pressure water jetting
L10-E,2015,-19,-17,Row B,68,101,28,105,75,Mechanical cleaning methods
L10-G,2009,-17,-13,Level 2,36,162,26,17,73,Mechanical cleaning methods
G17-AP,2001,-24,-27,Conductors,58,110,31,122,58,Mechanical cleaning methods
L10-E,2008,-27,-27,Rows and Elevations,25,113,52,139,52,Mechanical cleaning methods
L10-AP,2003,-37,-27,Row E,2,239,94,20,90,Mechanical cleaning methods
G14-B,2016,-16,-13,Level 2 ,54,229,17,85,74,Mechanical cleaning methods
K12-BP,2011,-26,-33,Row 2,7,151,35,111,35,Mechanical cleaning methods
K2-A,2009,-27,-40,Row 5,13,219,27,9,27,Mechanical cleaning methods
K12-D,1999,-30,-14,Row A,80,143,5,132,73,Mechanical cleaning methods
K12-BD,2015,-40,-42,Row 1-2,93,237,1,127,46,Mechanical cleaning methods
K9-A,1999,-32,-26,Rows and Elevations,59,10,33,139,59,High-pressure water jetting
L10-AD,2007,-30,-27,Row 4,44,170,4,115,44,Mechanical cleaning methods
L10-BB,2016,-39,-19,Level 2,31,231,32,59,32,Mechanical cleaning methods
L10-G,2010,-32,-32,Rows and Elevations,39,29,34,185,39,High-pressure water jetting
K2-A,2010,-18,-24,Level 1,72,34,1,25,91,Laser cleaning
K12-BD,2016,-38,-40,Row A,18,142,29,88,76,Mechanical cleaning methods
L10-AP,2005,-31,-38,Rows and Elevations,93,211,2,154,90,Mechanical cleaning methods
K12-K,2005,-32,-19,Conductors,97,113,1,164,90,Mechanical cleaning methods
K9-C,2000,0,-12,Row 2-3,58,159,5,32,11,Mechanical cleaning methods
L10-D,2000,-19,-19,Level 1 ,30,245,46,193,83,Mechanical cleaning methods
G17-AP,2001,-30,-19,Row C,23,77,30,82,30,Mechanical cleaning methods
G17-AP,2002,-41,-32,Level 2 ,3,106,21,106,72,Mechanical cleaning methods
K12-CC,2005,-10,-4,Level 3,54,24,15,98,5,High-pressure water jetting
G16-A,2003,-27,-31,Row E,20,122,71,151,71,Mechanical cleaning methods
L10-G,2016,-31,-34,Row 1-2,44,190,26,186,44,Mechanical cleaning methods
L10-M,2015,-30,-15,Level 1,69,39,16,142,75,High-pressure water jetting
E17-A,2017,-41,-7,Level 3,76,6,2,23,77,Mechanical cleaning methods
K12-BP,2007,-12,-10,Rows and Elevations,31,71,51,16,73,Mechanical cleaning methods
K12-C,2005,-17,-42,Row 4,64,138,31,102,64,Mechanical cleaning methods
K9-A,2016,-31,-32,Row C,29,56,60,5,60,Mechanical cleaning methods
L10-EE,2008,-18,-30,Row E,79,160,10,125,88,Mechanical cleaning methods
L10-L,2003,-30,-39,Row C,3,103,8,103,8,Mechanical cleaning methods
L10-C,2006,-15,-24,Level 1 ,59,120,13,23,84,Mechanical cleaning methods
D15-A,2016,-11,-4,Row 1,40,47,59,20,9,Laser cleaning
G16-A,2010,-18,-6,Row A,10,240,65,80,72,Mechanical cleaning methods
K12-CC,2000,-12,-18,Level 1,40,65,45,132,80,Mechanical cleaning methods
L10-M,2010,-7,-34,Rows and Elevations,5,126,0,113,77,Mechanical cleaning methods
L10-AR,2007,-11,-4,Row 2-3,42,56,2,70,7,Mechanical cleaning methods
K12-D,2010,-18,-7,Row 5,2,164,68,10,82,Mechanical cleaning methods
K9-A,2013,-9,-26,Row 1,100,234,0,66,76,Mechanical cleaning methods
E17-A,2016,-33,-11,Level 3,12,203,71,101,72,Mechanical cleaning methods
L10-D,2017,-9,-34,Row A,16,128,36,184,80,Mechanical cleaning methods
L10-E,2017,-9,-33,Row A,66,244,25,131,77,Mechanical cleaning methods
K12-BD,2007,-29,-11,Level 2,25,214,57,17,75,Mechanical cleaning methods
G17-AP,2012,-26,-14,Level 3,29,170,57,76,91,Mechanical cleaning methods
G14-B,2004,-4,-29,Level 2,60,224,24,125,86,Mechanical cleaning methods
E17-A,2005,-7,-6,Row D,20,183,15,14,7,Mechanical cleaning methods
G17-A,2000,-26,-10,Row 2,55,79,17,27,90,Mechanical cleaning methods
K12-G,2015,-42,-15,Row D,60,133,14,102,60,Mechanical cleaning methods
G16-A,2017,-16,-27,Rows and Elevations,56,218,0,46,73,Mechanical cleaning methods
K12-C,2006,-9,-14,Level 2 ,66,111,33,106,85,Mechanical cleaning methods
K12-G,2015,-29,-29,Row 1-2,24,133,31,112,31,Mechanical cleaning methods
L10-L,2014,-31,-12,Row 2,38,127,11,199,88,Mechanical cleaning methods
L10-BB,2010,-6,-12,Row 4,100,124,0,84,5,Mechanical cleaning methods
K12-G,2012,-4,-4,Risers,57,133,1,189,5,Mechanical cleaning methods
L10-B,2013,3,-34,Level 3,58,17,33,196,77,High-pressure water jetting
G14-A,2008,-30,-19,Row 2,50,243,5,41,50,Mechanical cleaning methods
L10-AD,2011,-8,-13,Row 5,24,185,4,43,72,Mechanical cleaning methods
K9-C,2012,-33,-8,Row A,33,33,38,58,91,High-pressure water jetting
K9-A,2011,-4,-24,Row 3,26,177,35,20,76,Mechanical cleaning methods
K12-BD,2008,-32,-34,Level 2,74,32,1,120,74,High-pressure water jetting
K12-C,2011,-18,-8,Risers,44,164,44,129,72,Mechanical cleaning methods
K12-C,2016,3,-37,Risers,19,44,54,109,72,High-pressure water jetting
K12-G,2004,-13,-18,Row 4,25,233,11,54,89,Mechanical cleaning methods
L10-BB,2012,-34,4,Risers,50,231,33,37,91,Mechanical cleaning methods
G16-A,2000,-16,-27,Row 5,22,241,23,145,80,Mechanical cleaning methods
G14-A,2016,-24,-19,Row 4,41,94,58,62,78,Mechanical cleaning methods
K12-BP,2004,-17,-39,Level 2 ,8,136,62,121,62,Mechanical cleaning methods
K2-A,2003,-33,-12,Level 2,31,103,26,6,77,Mechanical cleaning methods
L10-C,2004,-32,-6,Row 3,43,112,45,93,89,Mechanical cleaning methods
L10-B,2013,-18,-19,Level 3,81,31,12,63,82,Mechanical cleaning methods
K12-K,2012,-33,-27,Level 2 ,67,80,7,112,67,Mechanical cleaning methods
L5-A,2011,-18,-40,Level 2,68,35,25,63,68,High-pressure water jetting
K12-BD,2013,-6,4,Level 2,89,188,4,23,9,Mechanical cleaning methods
K12-D,2004,-18,-10,Level 1,45,119,33,61,85,Mechanical cleaning methods
K12-C,2014,3,-29,Row E,98,233,2,22,91,Mechanical cleaning methods
K12-C,2017,-41,-14,Row 4,66,42,27,178,66,High-pressure water jetting
L10-AD,2014,-32,-34,Row 5,17,3,9,10,17,Ultrasonic cleaning
K9-A,2009,-33,-4,Row 4,85,233,13,167,91,Mechanical cleaning methods
D15-A,2008,-34,-12,Row 1-2,72,224,16,144,74,Mechanical cleaning methods
K12-G,2017,-15,-13,Risers,38,56,45,167,75,Mechanical cleaning methods
G17-A,2013,0,-9,Rows and Elevations,66,50,3,96,10,Mechanical cleaning methods
E17-A,2009,-18,-16,Row 3-1,60,133,19,185,72,Mechanical cleaning methods
L10-G,2012,-27,0,Rows and Elevations,1,238,61,76,82,Mechanical cleaning methods
L10-BB,2001,-42,-40,Level 1,93,10,5,141,13,Mechanical cleaning methods
K12-CC,2017,-34,-15,Row C,2,242,19,139,19,Mechanical cleaning methods
L10-EE,2010,-29,-6,Row 5,68,122,10,33,73,Mechanical cleaning methods
L10-M,2016,-19,-10,Caissons,36,182,28,189,79,Mechanical cleaning methods
K12-CC,2014,-8,-31,Row 2-3,46,26,52,137,78,High-pressure water jetting
K12-G,2008,-9,-8,Row 2,91,174,6,160,9,Mechanical cleaning methods
L10-BB,2017,-32,-8,Row 3-1,74,168,16,127,83,Mechanical cleaning methods
L10-BB,2010,-37,-10,Row 3-1,7,32,62,24,71,Laser cleaning
L10-AP,2009,-9,-31,Caissons,21,194,69,88,76,Mechanical cleaning methods
G17-A,2008,-34,-13,Conductors,23,54,31,164,74,Mechanical cleaning methods
K2-A,2017,-12,-19,Level 1 ,17,179,37,16,81,Mechanical cleaning methods
L10-E,2010,-12,4,Level 2 ,93,81,5,7,6,Mechanical cleaning methods
K9-A,2005,-14,-34,Row 1-2,38,250,37,139,81,Mechanical cleaning methods
L10-M,2013,-15,-13,Row 2,78,237,19,19,75,Mechanical cleaning methods
L10-B,2001,-12,-13,Caissons,15,210,24,94,87,Mechanical cleaning methods
G14-B,2013,-41,-6,Level 2,99,226,1,11,90,Mechanical cleaning methods
G17-A,2003,-12,-15,Level 2 ,16,205,21,101,73,Mechanical cleaning methods
K2-A,2004,-10,-18,Row D,13,158,4,30,77,Mechanical cleaning methods
K12-BP,2011,-15,-27,Caissons,58,107,13,102,86,Mechanical cleaning methods
L10-G,2008,-26,-41,Caissons,13,47,20,86,20,High-pressure water jetting
L10-C,2008,-9,-32,Row 1-2,51,153,14,175,81,Mechanical cleaning methods
K12-A,2007,-17,-10,Row A,92,64,5,148,78,Mechanical cleaning methods
L10-AR,2017,-4,-38,Row E,89,34,5,8,75,Mechanical cleaning methods
L10-D,2014,-4,0,Level 3,85,156,14,126,6,Mechanical cleaning methods
